2344.391319  113.000000 	 ThII
2337.239000  120.000000 	 ArII
2333.703498  83.000000  	 ThI 
2327.644880  49.000000  	 ThI 
2322.514434  160.000000 	 ArII
2318.177890  129.000000 	 ThI 
2315.992583  560.000000 	 ThI 
2313.951775  16500.000000 	 ArI 
2297.834615  840.000000 	 ArI 
2297.101609  47.000000  	 ThI 
2290.714536  88.000000  	 ThI 
2288.389426  140.000000 	 ArI 
2287.034336  209.000000 	 ThI 
2286.140318  88.000000  	 ThI 
2285.785811  83.000000  	 ThI 
2285.017760  49.000000  	 ThI 
2284.081233  65.000000  	 ThI 
2283.574146  64.000000  	 ThI 
2271.637661  125.000000 	 ThI 
2265.236804  171.000000 	 ThI 
2262.054934  301.000000 	 ThI 
2254.391639  188.000000 	 ThI 
2253.973750  129.000000 	 ArI 
2250.293787  136.000000 	 ThI 
2238.387809  50.000000  	 ThI 
2235.086236  96.000000  	 ThI 
2227.041193  128.000000 	 ThII
2211.865237  1910.000000 	 ArI 
2210.966149  420.000000 	 ThI 
2208.320764  20100.000000 	 ArI 
2207.953007  43.000000  	 ThI 
2204.557738  4800.000000 	 ArI 
2199.672548  73.000000  	 ThI 
2197.907021  56.000000  	  ?    
2196.537282  53.000000  	 ThI 
2195.093404  214.000000 	 ThI 
2194.781021  250.000000 	 ArII
2177.026049  310.000000 	 ArII
2175.326344  79.000000  	 ThI 
2174.993050  750.000000 	 ThII
2171.851149  333.000000 	 ThI 
2167.590794  100.000000 	 ArI 
2166.165892  80.000000  	 ThI 
2166.126760  34.000000  	 ThI 
2164.316417  115.000000 	  ?    
2163.491772  313.000000 	 ThI 
2161.153219  66.000000  	 ThI 
2154.008390  19700.000000 	 ArI 
2147.870903  45.000000  	 ThI 
2142.455325  48.000000  	 ThI 
2141.259167  42.000000  	 ThI 
2138.094111  141.000000 	 ThI 
2135.902750  115.000000 	 ThI 
2133.870887  3930.000000 	 ArI 
2116.846811  116.000000 	 ThII
2115.426200  126.000000 	 ThI 
2114.895863  216.000000 	 ThI 
2113.841840  69.000000  	 ThI 
2110.154630  103.000000 	 ThII
2105.595487  150.000000 	 ThI 
2104.156460  800.000000 	 ArI 
2102.525625  94.000000  	 ThI 
2099.270338  71.000000  	 ThII
2099.183873  37200.000000 	 ArI 
2095.718769  48.000000  	 ThI 
2088.526891  57.000000  	 ThI 
2087.514499  600.000000 	 ThI 
2086.826202  55.000000  	 ThI 
2081.671314  4000.000000 	 ArI 
2074.099185  710.000000 	 ArI 
2073.922013  4300.000000 	 ArI 
2072.198891  500.000000 	 ArI 
2069.772400  124.000000 	 ThII
2068.576205  430.000000 	 ThI 
2065.276244  6400.000000 	 ArI 
2064.000997  950.000000 	 ThI 
2062.185662  74000.000000 	 ArI 
2057.442630  2240.000000 	 ArI 
2042.732076  60.000000  	 ThI 
2038.686232  128.000000 	 ThI 
2038.344813  40.000000  	 ThI 
2032.329980  212.000000 	 ThI 
2032.255347  8400.000000 	 ArI 
2030.645321  51.000000  	 ThII
2019.688652  159.000000 	 ThI 
2013.419724  116.000000 	 ThI 
2008.286794  90.000000  	 ThI 
2007.440518  1860.000000 	 ArI 
2005.341468  87.000000  	 ThI 
2003.556750  1400.000000 	 ArI 
2003.157216  84.000000  	 ThI 
2003.113094  3540.000000 	 ArI 
2001.089794  370.000000 	 ThII
1999.768907  330.000000 	 ArI 
1997.118023  11500.000000 	 ArI 
1995.050929  3010.000000 	 ArI 
1990.855166  440.000000 	 ArI 
1990.813629  158.000000 	 ThI 
1988.771397  59.000000  	 ThI 
1986.760822  480.000000 	 CaI 
1986.308021  57.000000  	 ThI 
1985.831608  60.000000  	 ThI 
1982.290907  23200.000000 	 ArI 
1979.142334  299.000000 	 ThI 
1978.217562  2890.000000 	 CaI 
1977.970238  161.000000 	 ThII
1977.056223  134.000000 	 ThI 
1974.681078  510.000000 	 ThI 
1968.879574  66.000000  	 ThII
1968.859572  294.000000 	 ThII
1967.988463  137.000000 	 ThI 
1967.526371  85.000000  	 ThI 
1967.382111  450.000000 	 ThI 
1964.988966  48.000000  	 ThII
1964.424932  170.000000 	 ArII
1963.359163  580.000000 	 ArI 
1962.249421  81.000000  	 ThI 
1960.041535  180.000000 	 ThI 
1951.105263  500.000000 	 CaI 
1948.207299  107.000000 	 ThI 
1947.760897  110.000000 	 ArI 
1945.828860  1680.000000 	 CaI 
1943.310900  80.000000  	  ?    
1940.576218  171.000000 	 ThI 
1940.206935  87.000000  	 ThI 
1939.661326  120.000000 	 ThI 
1934.426389  273.000000 	 ThII
1932.314912  78.000000  	 ThI 
1931.445729  780.000000 	 CaI 
1930.017824  290.000000 	 ArI 
1920.989546  79.000000  	 ThI 
1919.587851  77.000000  	 ThI 
1918.361222  72.000000  	 ThI 
1918.201629  240.000000 	 ArI 
1918.050414  670.000000 	 ArI 
1915.703663  380.000000 	 ThI 
1915.306708  190.000000 	 ThI 
1915.084942  330.000000 	 ThII
1914.850248  180.000000 	 ThII
1912.902965  400.000000 	 ArI 
1911.832042  107.000000 	 ThI 
1911.371537  86.000000  	 ThI 
1909.381116  78.000000  	 ThI 
1907.961829  197.000000 	 ThI 
1907.849387  94.000000  	 ThI 
1905.557012  41.000000  	 ThI 
1902.417185  350.000000 	 ArI 
1902.380016  116.000000 	 ThI 
1898.971741  213.000000 	 ThI 
1896.508301  310.000000 	 ArI 
1894.726315  124.000000 	 ThI 
1892.495184  82.000000  	 ThI 
1889.185759  820.000000 	 ThI 
1888.293111  210.000000 	 ArI 
1887.732615  48.000000  	  ?    
1887.074375  208.000000 	 ThI 
1885.586425  114.000000 	 ThI 
1881.700925  2790.000000 	 ThI 
1880.753991  111.000000 	 ThI 
1877.758063  181.000000 	 ThII
1877.370920  300.000000 	 ArI 
1876.859088  330.000000 	 ArI 
1875.011779  1950.000000 	 ArI 
1873.591270  90.000000  	 ThI 
1867.444006  211.000000 	 ThI 
1866.230989  103.000000 	 ThI 
1865.684792  380.000000 	 ThI 
1864.676579  460.000000 	 ArI 
1863.736777  3910.000000 	 ArI 
1860.956062  260.000000 	 ArII
1860.692761  69.000000  	 ThI 
1860.093617  275.000000 	 ThI 
1858.002045  490.000000 	 ArII
1857.665519  480.000000 	 ArI 
1857.523483  4000.000000 	 ArI 
1856.929457  2720.000000 	 ArI 
1856.303818  219.000000 	 ThI 
1852.935098  110.000000 	 ThI 
1852.506404  390.000000 	 ArII
1849.568423  179.000000 	 ThI 
1849.452017  110.000000 	 ArII
1849.430776  180.000000 	 ArII
1849.176132  1730.000000 	 ArI 
1849.071294  230.000000 	 ArI 
1847.349386  470.000000 	 ThI 
1846.759242  120.000000 	 ArII
1846.719204  90.000000  	 ArII
1844.552275  290.000000 	 ThI 
1844.359619  410.000000 	 ArII
1843.447856  12600.000000 	 ArI 
1843.343120  1630.000000 	 ArI 
1843.279938  25100.000000 	 ArI 
1842.666161  110.000000 	 ArI 
1842.321013  1200.000000 	 ArI 
1842.308126  6400.000000 	 ArI 
1837.986625  90.000000  	 ArI 
1836.634890  330.000000 	 ArI 
1835.301174  750.000000 	 ArI 
1835.159648  140.000000 	 ThI 
1828.963893  84.000000  	 ThI 
1827.636781  80.000000  	 ThII
1824.800303  730.000000 	 ArI 
1824.439979  104.000000 	 ThII
1823.632157  550.000000 	 ArI 
1819.072502  910.000000 	 ArI 
1816.652956  57.000000  	 ThI 
1813.090978  630.000000 	 ThI 
1810.804371  140.000000 	 ThI 
1807.726546  530.000000 	 ThI 
1803.455001  75.000000  	  ?    
1802.999546  75.000000  	  ?    
1801.247991  97.000000  	 ThI 
1799.869779  113.000000 	 ThI 
1798.187898  164.000000 	 ThI 
1796.982169  590.000000 	 ThI 
1796.076396  69.000000  	 ThI 
1795.066518  112.000000 	  ?    
1794.133674  183.000000 	 ThII
1791.961855  116000.000000 	 ArI 
1791.952142  17100.000000 	 ArI 
1791.020183  160.000000 	 ArII
1789.305454  830.000000 	 ArI 
1789.285028  91.000000  	 ThI 
1789.206705  2480.000000 	 ArI 
1789.155439  97.000000  	 ThI 
1788.792510  43.000000  	 ThI 
1787.847155  59.000000  	 ThI 
1786.137473  60.000000  	 ArII
1783.074031  520.000000 	 ThI 
1782.886405  11900.000000 	 ThI 
1779.305798  61.000000  	 ThI 
1778.801821  400.000000 	 ThI 
1776.194044  40.000000  	 ThI 
1774.974316  650.000000 	 ThI 
1772.518675  94.000000  	 ThI 
1770.850055  153.000000 	 ThI 
1770.125486  100.000000 	 ThI 
1769.357210  66.000000  	 ThI 
1768.864493  108.000000 	 ThI 
1768.230152  83.000000  	 ThI 
1767.442466  68.000000  	 ThI 
1765.429220  46.000000  	 ThI 
1763.914134  132.000000 	 ThI 
1763.735651  80.000000  	 ArII
1763.084405  112.000000 	 ThI 
1762.789948  1470.000000 	 ThI 
1758.931037  3040.000000 	 ThI 
1757.790960  165.000000 	 ThI 
1755.745559  157.000000 	 ThI 
1753.930312  91.000000  	 ThII
1752.650718  40.000000  	 ThI 
1751.312902  46.000000  	 ThI 
1748.582637  1780.000000 	 ThII
1747.846902  53.000000  	 ThI 
1745.001226  2250.000000 	 ThI 
1744.966620  21300.000000 	 ArI 
1740.907553  288.000000 	 ThI 
1740.665396  3000.000000 	 ArI 
1739.932165  64.000000  	 ThI 
1739.010652  400.000000 	 ThI 
1738.665304  3680.000000 	 ThI 
1738.534761  700.000000 	 ThI 
1731.238462  3380.000000 	 ThI 
1730.083123  420.000000 	 ArI 
1727.264339  161.000000 	 ThI 
1726.887493  166.000000 	 ThI 
1723.036554  82.000000  	 ThI 
1721.292160  350.000000 	 ThII
1721.217618  56.000000  	   ?   
1719.158064  75.000000  	 ThI 
1717.044907  59.000000  	 ThI 
1714.989438  71.000000  	 ThI 
1714.776258  83.000000  	   ?   
1714.000798  310.000000 	 ThI 
1713.883500  235.000000 	 ThI 
1712.598413  103.000000 	 ThI 
1711.821025  83.000000  	 ThI 
1709.299677  61.000000  	 ThI 
1708.371955  84.000000  	 ?     
1708.345601  191.000000 	 ThI 
1708.040474  102.000000 	 ThI 
1701.319337  61.000000  	 ThI 
