#
# This is the recipe control document
#
# Columns must be as follows:
#     Recipe        = full name of recipe (without .py)          
#     Number        = Number of files assiociated with recipe
#                     Note multiple of same number for same recipe works as "or" 
#                     i.e. cal_loc_RAW_spirou can take flat_dark OR dark_flat
#     ocode         = odometer code (will be checked for in pre-processing to set 
#                     unique_string and dprtype) if None not checked in pre-processing
#                     In case of reduced file will check for header key kw_OUTPUT
#     obstype       = OBSTYPE HEADER key (will be checked for in pre-processing
#                     to set unique_string and dprtype) if None not checked for in
#                     pre-processing
#     ccas          = AB fiber type code, if None not checked for in pre-processing
#     cref          = C fiber type code, if None not checked for in pre-processing
#     fiber         = if set identifies the type of fiber to user, i.e. FIBER parmeter
#                     if None fiber is not set
#     dprtype       = the value of DPRTYPE set in the HEADER (after identification 
#                     in pre-processing), if None DPRTYPE not set
#     dstring       = the unique string "suffix" to add in pre-processing, if None
#                     not added in pre-processing, this is the string looked for
#                     when recipe runs
#     kind          = whether a file is a Raw file [RAW] or Reduced file [REDUC] if
#                     Raw file will be required to have the pre-processing suffix
#                     when recipe runs
#     desc          = single word description for the recipe (used in logging when 
#                     recipe runs)
#     order         = ideal order to run the DRS (minus numbers mean do not run)
#     det           = detector type validity (1=both, 2=H2RG only, 4=H4RG only) 
# 
# ===============================================================================================
Recipe, number, ocode, obstype, ccas, cref, fiber, dprtype, dstring, kind, desc, order, det
# ===============================================================================================
#
# ---- Dark and Bad pixel recipes
#
cal_DARK_spirou, 1, d, DARK, pos_pk, pos_pk, None, DARK_DARK, dark_dark, RAW, DARK, 1, 1
cal_DARK_spirou, 1, o, OBJECT, pos_pk, pos_pk, None, OBJ_DARK, None, RAW, DARK, 1, 1
cal_BADPIX_spirou, 1, f, FLAT, pos_wl, pos_wl, None, FLAT_FLAT, flat_flat, RAW, BAD-PIXEL, 2, 1
cal_BADPIX_spirou, 2, d, DARK, pos_pk, pos_pk, None, DARK_DARK, dark_dark, RAW, BAD-PIXEL, 2, 1
#
# ---- Localisation recipes
#
cal_loc_RAW_spirou, 1, f, FLAT, pos_wl, pos_pk, AB, FLAT_DARK, flat_dark, RAW, LOCALIZATION, 3, 1
cal_loc_RAW_spirou, 1, f, FLAT, pos_pk, pos_wl, C, DARK_FLAT, dark_flat, RAW, LOCALIZATION, 3, 1
#
# ---- Tilt recipes
#
cal_SLIT_spirou, 1, a, ALIGN, pos_fp, pos_fp, None, FP_FP, fp_fp, RAW, SLIT, 4, 1
cal_SHAPE_spirou, 1, c, COMPARISON, pos_hc1, pos_hc1, None, HCONE_HCONE, hcone_hcone, RAW, SHAPE, 4, 1
cal_SHAPE_spirou, 2, a, ALIGN, pos_fp, pos_fp, None, FP_FP, fp_fp, RAW, SHAPE, 4, 1
#
# ---- Flat fielding recipes
#
cal_FF_RAW_spirou, 1, f, FLAT, pos_wl, pos_wl, None, FLAT_FLAT, flat_flat, RAW, FLAT-FIELD, 5, 4
#cal_FF_RAW_spirou, 1, f, FLAT, pos_wl, pos_pk, AB, FLAT_DARK, flat_dark, RAW, FLAT-FIELD, 5, 2
