X,Y,BRIGHTNESS
437,4,677.9194946289062
438,4,2839.321533203125
439,4,2839.800537109375
440,4,717.2828979492188
3111,4,2634.97314453125
3435,4,1097.7884521484375
1221,5,4393.27978515625
1953,5,2739.242431640625
2022,5,149.8973846435547
2098,5,5138.2861328125
2126,5,4921.4599609375
3615,5,183.19248962402344
446,6,154.29110717773438
1795,6,294.8218688964844
2127,6,328.71588134765625
3174,6,553.7776489257812
388,7,1069.48828125
430,7,1365.0225830078125
832,7,2561.41845703125
1362,7,1695.7506103515625
2931,7,312.2889404296875
3517,7,1748.7158203125
1286,8,810.8118286132812
1525,8,290.8570861816406
2405,8,814.783203125
427,9,608.3946533203125
429,9,1166.059326171875
1053,9,127.44906616210938
1054,9,1093.7066650390625
2860,9,1721.3697509765625
3163,9,5107.171875
3486,9,292.7817687988281
425,10,134.41085815429688
427,10,3729.848388671875
676,10,1489.1217041015625
843,10,174.40234375
878,10,1078.25341796875
1008,10,4673.8212890625
1825,10,1016.7506103515625
2231,10,2635.115478515625
2638,10,5616.24658203125
3453,10,1107.7127685546875
434,11,5211.98193359375
435,11,2622.658447265625
1137,11,2156.8251953125
2134,11,1774.171142578125
2356,11,3824.66748046875
3023,11,904.5965576171875
3580,11,1402.6685791015625
1571,12,650.794921875
1991,12,1787.372802734375
2893,12,841.777587890625
3158,12,634.5616455078125
3302,12,1533.83447265625
3346,12,154.6815643310547
3773,12,2131.7685546875
2232,13,1587.7037353515625
3600,13,122.20234680175781
3874,13,227.34637451171875
1300,14,514.291015625
2629,14,1026.685302734375
3781,14,2999.238037109375
951,15,309.58343505859375
3948,15,276.6872253417969
1476,16,634.0880126953125
2141,16,934.1934204101562
2741,16,1133.8514404296875
4086,16,748.347900390625
845,17,800.8984375
3619,17,567.423583984375
292,18,6544.93994140625
1504,18,2969.51416015625
1578,18,2231.377685546875
2144,18,1153.71435546875
2441,18,1891.7940673828125
2510,18,3365.679931640625
3575,18,152.2749786376953
3942,18,366.7808837890625
53,19,3703.093017578125
2128,19,2232.936767578125
2145,19,566.8911743164062
2510,19,918.9765014648438
2973,19,1133.2010498046875
3065,19,1371.4825439453125
486,20,100.37081146240234
1915,20,442.32568359375
2146,20,4106.8876953125
367,21,3993.2177734375
1183,21,1893.843994140625
4000,21,788.2400512695312
4015,21,556.0798950195312
2371,22,4045.69677734375
2672,22,967.635498046875
2039,23,245.77044677734375
2340,23,333.3560485839844
3791,23,2115.396484375
3849,23,2723.5029296875
2849,24,599.3198852539062
3081,24,564.7330932617188
3532,24,1478.33154296875
4053,24,246.1526336669922
359,25,636.0739135742188
1192,25,1793.3638916015625
2751,25,716.5940551757812
1068,26,317.6867370605469
2372,26,1608.9739990234375
3252,26,866.353515625
3534,26,1831.2587890625
3926,26,491.28692626953125
778,27,178.90463256835938
1261,27,121.76579284667969
1838,27,776.2278442382812
2175,27,752.9041137695312
2436,27,265.80242919921875
3098,27,874.5579833984375
3491,27,218.51376342773438
3924,27,1301.0736083984375
1653,28,3564.137451171875
2101,28,2344.805908203125
3951,28,6861.484375
385,29,1351.322265625
1927,29,2140.251953125
2408,29,162.7853240966797
2666,29,119.39730072021484
151,30,868.1878662109375
823,30,926.9337768554688
1275,30,554.9747924804688
1999,30,6068.10888671875
3918,30,724.5367431640625
4,31,1069.6702880859375
69,31,112.8529281616211
381,31,182.1160125732422
1930,31,758.058349609375
1965,31,743.7540893554688
3484,31,1126.9654541015625
378,32,100.59429931640625
379,32,6368.97265625
380,32,2268.8076171875
1326,32,479.74267578125
2162,32,2048.7578125
2969,32,1081.1717529296875
2976,32,1131.4154052734375
2075,33,1161.86572265625
2164,33,1712.115234375
3206,33,2062.937744140625
62,34,4830.9091796875
750,34,1660.38720703125
1630,34,2797.92138671875
1631,34,262.7331237792969
2100,34,2529.7568359375
2370,34,3014.474365234375
2810,34,4105.33837890625
2823,34,2743.760498046875
2945,34,1518.4317626953125
3286,34,270.343994140625
998,35,960.1417236328125
3000,35,3599.610595703125
3748,35,1358.0369873046875
1838,36,2019.622314453125
3203,36,169.79470825195312
3274,36,2000.53857421875
