"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
"00-00-00000","ERROR","Dev Error","None","Dev Error: General Error",,
,,,,,,
"00-01-00000","ERROR","Dev Function Input Error","None","Dev Error: Function Input Error",,
,,,,,,
"00-02-00000","ERROR","Dev Class Input Error","None","Dev Error: Class Input Error",,
,,,,,,
"00-03-00000","ERROR","Dev Constant Error","None","Dev Error: Constant Error",,
,,,,,,
"00-04-00000","ERROR","Dev Deprecated Error","None","Dev Error: Deprecated Error",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"01-00-00000","ERROR","User Error","None","User Error: General Error",,
,,,,,,
"01-01-00000","ERROR","User Argument Error","None","User Error: Argument Error",,
,,,,,,
"01-02-00000","ERROR","User Constant Error","None","User Error: Constant Error",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"09-00-00000","ERROR","IO Error","None","IO Error: General Error",,
,,,,,,
"09-01-00000","ERROR","IO File Error","None","IO Error: File Error",,
,,,,,,
"09-02-00000","ERROR","IO System Error","None","IO Error: System Error",,
