"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
0,"ERROR","None","None","This is the SPIROU error message","None","None"
"00-000-00000","ERROR","Dev Error","None","Dev Error: General Error","",""
"","","","","","",""
"00-001-00000","ERROR","Dev Function Input Error","None","Dev Error: Function Input Error","",""
"","","","","","",""
"00-002-00000","ERROR","Dev Class Input Error","None","Dev Error: Class Input Error","",""
"","","","","","",""
"00-003-00000","ERROR","Dev Constant Error","None","Dev Error: Constant Error","",""
"","","","","","",""
"00-004-00000","ERROR","Dev Deprecated Error","None","Dev Error: Deprecated Error","",""
"","","","","","",""
"00-005-00000","ERROR","Dev Log Error","None","Dev Error: Logging Error","",""
"","","","","","",""
"00-005-00001","ERROR","Log error input 'message' is incorrect","{0} = message input","Log Error: Message: '{0}' is not a valid log message","",""
"","","","","","",""
"00-006-00000","ERROR","Dev Argument Error","None","Dev Error: Argument Error","",""
"","","","","","",""
"01-001-00000","ERROR","IO Error","None","IO Error: General Error","",""
"","","","","","",""
"01-001-00000","ERROR","IO File Error","None","IO Error: File Error","",""
"","","","","","",""
"01-002-00000","ERROR","IO System Error","None","IO Error: System Error","",""
"","","","","","",""
"09-000-00000","ERROR","User Error","None","User Error: General Error","",""
"","","","","","",""
"09-001-00000","ERROR","User Argument Error","None","User Error: Argument Error","",""
"","","","","","",""
"09-002-00000","ERROR","User Constant Error","None","User Error: Constant Error","",""
"","","","","","",""
"10-000-00000","WARNING","Warning Messages","None","\t","",""
"","","","","","",""
"20-000-00000","INFO","Info Messages","None","\t","",""
"","","","","","",""
"30-000-00000","GRAPH","Graph Messages","None","\t","",""
"","","","","","",""
"40-000-00000","ALL","All Messages","None","\t","",""
"","","","","","",""
"40-001-00000","ALL","Setup Messages","None","\t","",""
"","","","","","",""
"40-002-00000","ALL","Help Messages","None","\t","",""
"","","","","","",""
"40-003-00000","ALL","Exit Messages","None","\t","",""
