"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
"ADD_CAL_HELP","HELP",,"None","[BOOLEAN] Whether to add outputs to calibration database","[BOOLEAN] S'il faut ajouter des sorties à la base de données d'étalonnage ",
"ALLLISTING_HELP","HELP",,"None","Lists ALL the night name directories in the input directory if used without a 'directory' argument or lists the files in the given 'directory' (if defined)","Répertorie TOUS les répertoires de noms de nuit du répertoire d'entrée s'il est utilisé sans l'argument 'directory' ou répertorie les fichiers du 'répertoire' donné (si défini)",
"BACKSUB_HELP","HELP",,"None","[BOOLEAN] Whether to do background subtraction","[BOOLEAN] S'il faut faire une soustraction de fond ",
"BADFILE_HELP","HELP",,"None","[STRING] Define a custom file to use for bad pixel correction. Checks for an absolute path and then checks ""directory""","[STRING] Définissez un fichier personnalisé à utiliser pour corriger les pixels défectueux. Vérifie un chemin absolu puis vérifie ""répertoire"" ",
"BADPIX_DARKFILE_HELP","HELP",,"None","Current allowed types: DARK_DARK","Types actuellement autorisés: DARK_DARK ",
"BADPIX_DESC","HELP",,"None","Bad pixel finding recipe for SPIRou @ CFHT","Mauvaise recette de recherche de pixels pour SPIRou @ CFHT ",
"BADPIX_EXAMPLE","HELP",,"None","cal_BADPIX_spirou.py [NIGHT_NAME] [FLAT_FLAT] [DARK_DARK] \n cal_BADPIX_spirou.py 2018-08-05 2295524f_pp.fits dark_dark_P5_003d_pp.fits \n cal_BADPIX_spirou.py 2018-08-05 2295524f_pp dark_dark_P5_003d_pp \n cal_BADPIX_spirou.py 2018-08-05 229552*f_pp d_pp","cal_BADPIX_spirou.py [NIGHT_NAME] [FLAT_FLAT] [DARK_DARK] \n cal_BADPIX_spirou.py 2018-08-05 2295524f_pp.fits dark_dark_P5_003d_pp.fits \n cal_BADPIX_spirou.py 2018-08-05 2295524f_pp dark_dark_P5_003d_pp \n cal_BADPIX_spirou.py 2018-08-05 229552*f_pp d_pp",
"BADPIX_FLATFILE_HELP","HELP",,"None","Current allowed types: FLAT_FLAT","Types actuellement autorisés: FLAT_FLAT ",
"BLAZEFILE_HELP","HELP",,"None","[STRING] Define a custom file to use for blaze correction. If unset uses closest file from calibDB. Checks for an absolute path and then checks ""directory""","[STRING] Définissez un fichier personnalisé à utiliser pour la correction de flamme. Si non défini, utilise le fichier le plus proche de calibDB. Vérifie un chemin absolu puis vérifie ""répertoire"" ",
"COMBINE_HELP","HELP",,"None","[BOOLEAN] Whether to combine fits files in file list or to process them separately","[BOOLEAN] S'il faut combiner des fichiers de la liste de fichiers ou les traiter séparément ",
"DARK_DESC","HELP",,"None","Dark finding recipe for SPIRou @ CFHT","Recette Dark Find pour SPIRou @ CFHT ",
"DARK_EXAMPLE","HELP",,"None","cal_DARK_spirou.py [NIGHT_NAME] [FILES] \n cal_DARK_spirou.py 2018-08-05 dark_dark_P5_003d_pp.fits \n cal_DARK_spirou.py 2018-08-05 dark_dark_P5_003d_pp \n cal_DARK_spirou.py 2018-08-05 *d_pp","cal_DARK_spirou.py [NIGHT_NAME] [FILES] \n cal_DARK_spirou.py 2018-08-05 dark_dark_P5_003d_pp.fits \n cal_DARK_spirou.py 2018-08-05 dark_dark_P5_003d_pp \n cal_DARK_spirou.py 2018-08-05 *d_pp",
"DARK_FILES_HELP","HELP",,"None","Current allowed types: DARK_DARK","Types actuellement autorisés: DARK_DARK ",
"DARKFILE_HELP","HELP",,"None","[BOOLEAN] Whether to correct for the dark file absolute path and then checks ""directory","[BOOLEAN] Indique s'il faut corriger le chemin absolu du fichier sombre, puis vérifier le répertoire "" ",
"DEBUG_HELP","HELP",,"None","Activates debug mode (Advanced mode [INTEGER] value must be an integer greater than 0, setting the debug level)","Active le mode débogage (la valeur en mode avancé [INTEGER] doit être un entier supérieur à 0, définissant le niveau de débogage)",
"DIRECTORY_HELP","HELP",,"None","[STRING] The ""night_name"" or absolute path of the directory","[STRING] Le ""night_name"" ou chemin absolu du répertoire ",
"DOBAD_HELP","HELP",,"None","[BOOLEAN] Whether to correct for the bad pixel file","[BOOLEAN] S'il faut corriger le fichier de pixels défectueux ",
"DODARK_HELP","HELP",,"None","[BOOLEAN] Whether to correct for the dark file","[BOOLEAN] S'il faut corriger pour le fichier sombre ",
"EXTFIBER_HELP","HELP",,"None","[STRING] Define which fibers to extract","[STRING] Définir les fibres à extraire ",
"EXTRACT_DESC","HELP",,"None","Extraction recipe for SPIRou @ CFHT","Recette d'extraction pour SPIRou @ CFHT ",
"EXTRACT_EXAMPLE","HELP",,"None"," cal_extract_RAW_spirou.py [NIGHT_NAME] [FILES] \n cal_extract_RAW_spirou.py 2018-08-05 2295525a_pp.fits \n cal_extract_RAW_spirou.py 2018-08-05 2295545o_pp.fits \n cal_extract_RAW_spirou.py 2018-08-05 2295525a_pp \n cal_extract_RAW_spirou.py 2018-08-05 22"," cal_extract_RAW_spirou.py [NIGHT_NAME] [FILES] \n cal_extract_RAW_spirou.py 2018-08-05 2295525a_pp.fits \n cal_extract_RAW_spirou.py 2018-08-05 2295545o_pp.fits \n cal_extract_RAW_spirou.py 2018-08-05 2295525a_pp \n cal_extract_RAW_spirou.py 2018-08-05 22",
"EXTRACT_FILES_HELP","HELP",,"None","Current accepts all preprocessed filetypes. All files used will be combined into a single frame.","Current accepte tous les types de fichiers prétraités. Tous les fichiers utilisés seront combinés dans un seul cadre. ",
"EXTRACT_METHOD_HELP","HELP",,"None","[STRING] Define a custom extraction method","[STRING] Définir une méthode d'extraction personnalisée ",
"FILE_HELP","HELP",,"None","[STRING] A single fits files. ","[STRING] Un seul correspond à des fichiers. ",
"FILES_HELP","HELP",,"None","[STRING/STRINGS] A list of fits files to use separated by spaces. ","[STRING / STRINGS] Liste des fichiers de correspondance à utiliser séparés par des espaces. ",
"FLAT_DESC","HELP",,"None","Flat/Blaze finding recipe for SPIRou @ CFHT","Recette de recherche de plat / feu pour SPIRou @ CFHT ",
"FLAT_EXAMPLE","HELP",,"None"," cal_FF_RAW_spirou.py [NIGHT_NAME] [FLAT_FLAT] \n cal_FF_RAW_spirou.py [NIGHT_NAME] [DARK_FLAT] \n cal_FF_RAW_spirou.py [NIGHT_NAME] [FLAT_DARK] \n cal_FF_RAW_spirou.py 2018-08-05 2295520f_pp.fits 2295521f_pp.fits \n cal_FF_RAW_spirou.py 2018-08-05 229552"," cal_FF_RAW_spirou.py [NIGHT_NAME] [FLAT_FLAT] \n cal_FF_RAW_spirou.py [NIGHT_NAME] [DARK_FLAT] \n cal_FF_RAW_spirou.py [NIGHT_NAME] [FLAT_DARK] \n cal_FF_RAW_spirou.py 2018-08-05 2295520f_pp.fits 2295521f_pp.fits \n cal_FF_RAW_spirou.py 2018-08-05 229552",
"FLAT_FILES_HELP","HELP",,"None","Current allowed types: FLAT_FLAT or DARK_FLAT or FLAT_DARK but not a mixture (exclusive)","Types actuellement autorisés: FLAT_FLAT ou DARK_FLAT ou FLAT_DARK mais pas un mélange (exclusif) ",
"FLATFILE_HELP","HELP",,"None","[STRING] Define a custom file to use for flat correction. If unset uses closest file from calibDB. Checks for an absolute path and then checks ""directory""","[STRING] Définissez un fichier personnalisé à utiliser pour la correction à plat. Si non défini, utilise le fichier le plus proche de calibDB. Vérifie un chemin absolu puis vérifie ""répertoire"" ",
"FLIPIMAGE_HELP","HELP",,"None","[BOOLEAN] Whether to flip fits image","[BOOLEAN] Faut-il retourner l'image? ",
"FLUXUNITS_HELP","HELP",,"None","[STRING] Output units for flux","[STRING] Unités de sortie pour flux ",
"HC_E2DS_DESC","HELP",,"None","Wavelength solution finding recipe for SPIRou @ CFHT. \n\n Uses the less accurate method using only a HCONE_HCONE file","La recette de recherche de solution de longueur d'onde pour SPIRou @ CFHT. \n\n Utilise la méthode la moins précise en utilisant uniquement un fichier HCONE_HCONE. ",
"HC_E2DS_EXAMPLE","HELP",,"None","cal_HC_E2DS_EA_spirou.py [NIGHT_NAME] [FILES] \n","cal_HC_E2DS_EA_spirou.py [NIGHT_NAME] [FILES] \n ",
"HC_E2DS_FILES_HELP","HELP",,"None","Currently allowed type:\n\tDRS_EOUT = EXT_E2DS_AB (HCONE_HCONE) or EXT_E2DS_A (HCONE_HCONE)\n\tor EXT_E2DS_B (HCONE_HCONE) or EXT_E2DS_C (HCONE_HCONE)","Type actuellement autorisé: \ n \ tDRS_EOUT = EXT_E2DS_AB (HCONE_HCONE) ou EXT_E2DS_A (HCONE_HCONE) \ n \ tor EXT_E2DS_B (HCONE_HCONE) ou EXT_E2DS_C (HCONE_HCONE) ",
"INFO_HELP","HELP",,"None","Displays the short version of the help menu","Affiche la version courte du menu d'aide",
"LISTING_HELP","HELP","Here the limit is the number of files/directorys shown","{0} = limit","Lists the night name directories in the input directory if used without a ""directory"" argument or lists the files in the given ""directory"" (if defined). Only lists up to {0} files/directories","Répertorie les répertoires de noms de nuit dans le répertoire d'entrée s'ils sont utilisés sans l'argument ""directory"" ou répertorie les fichiers du ""répertoire"" donné (si défini). Ne répertorie que jusqu'à {0} fichiers / répertoires",
"LOC_DESC","HELP",,"None","Localisation finding recipe for SPIRou @ CFHT","Recette de localisation pour SPIRou @ CFHT ",
