"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
"DRS_DESCRIPTION","HELP","","None","This is the default DRS description message","None","None"
"ADD_CAL_HELP","HELP","","None","[BOOLEAN] Whether to add outputs to calibration database","[BOOLEAN] S'il faut ajouter des sorties à la base de données d'étalonnage ",""
"ALLLISTING_HELP","HELP","","None","Lists ALL the night name directories in the input directory if used without a 'directory' argument or lists the files in the given 'directory' (if defined)","Répertorie TOUS les répertoires de noms de nuit du répertoire d'entrée s'il est utilisé sans l'argument 'directory' ou répertorie les fichiers du 'répertoire' donné (si défini)",""
"DEBUG_HELP","HELP","","None","Activates debug mode (Advanced mode [INTEGER] value must be an integer greater than 0, setting the debug level)","Active le mode débogage (la valeur en mode avancé [INTEGER] doit être un entier supérieur à 0, définissant le niveau de débogage)",""
"DIRECTORY_HELP","HELP","","None","[STRING] The 'night_name' or absolute path of the directory","[STRING] Le 'night_name' ou chemin absolu du répertoire ",""
"FILE_HELP","HELP","","None","[STRING] A single fits files. ","[STRING] Un seul correspond à des fichiers. ",""
"FILES_HELP","HELP","","None","[STRING/STRINGS] A list of fits files to use separated by spaces. ","[STRING / STRINGS] Liste des fichiers de correspondance à utiliser séparés par des espaces. ",""
"INFO_HELP","HELP","","None","Displays the short version of the help menu","Affiche la version courte du menu d'aide",""
"INTERACTIVE_HELP","HELP","","None","[BOOLEAN] Whether to run in interactive mode – 0 to be in non-interactive mode","",""
"LISTING_HELP","HELP","Here the limit is the number of files/directorys shown","{0} = limit","Lists the night name directories in the input directory if used without a 'directory' argument or lists the files in the given 'directory' (if defined). Only lists up to {0} files/directories","Répertorie les répertoires de noms de nuit dans le répertoire d'entrée s'ils sont utilisés sans l'argument 'directory' ou répertorie les fichiers du 'répertoire' donné (si défini). Ne répertorie que jusqu'à {0} fichiers / répertoires",""
"PLOT_HELP","HELP","","None","[INTEGER] Plot level. 0 = off, 1 = interactively, 2 = save to file","[BOOLEAN] Niveau de graphique. 0 = désactivé, 1 = interactivement, 2 = enregistrer dans un fichier",""
"TEST_DESC","HELP","","None","Test recipe - used to test the argument parser of the DRS","Test recipe - utilisé pour tester l'analyseur d'arguments du DRS ",""
"TEST_EXAMPLE","HELP","","None"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp",""
"TEST_FILELIST1_HELP","HELP","","None","Currently allowed types: -DARK_DARK -FLAT_FLAT","Types actuellement autorisés: -DARK_DARK -FLAT_FLAT ",""
"TEST_FILELIST2_HELP","HELP","","None","Currently allowed types: -FP_FP","Types actuellement autorisés: -FP_FP ",""
"VERSION_HELP","HELP","","None","Displays the current version of this recipe.","Affiche la version actuelle de cette recette.",""
"AND_TEXT","TEXT","","None","and","et",""
"DESCRIPTION_TEXT","TEXT","","None"," Description:"," La description: ",""
"EXAMPLES_TEXT","TEXT","","None"," Example uses:"," Exemple d'utilisation: ",""
"NO_TEXT","TEXT","","None","no","non",""
"OPTIONS_TEXT","TEXT","","None"," options"," les options ",""
"OR_TEXT","TEXT","","None","or","ou",""
"POS_ARG_TEXT","TEXT","","None"," positional arguments"," arguments de position",""
"USAGE_TEXT","TEXT","","None"," Usage:"," L'utilisation:",""
"YES_TEXT","TEXT","","None","yes","oui",""
"PREVIEW_HELP","HELP","","None","[BOOLEAN] If True previews the changelog before making any changes if False makes changes without preview","",""
"CHANGELOG_DESCRIPTION","HELP","","None","Produces a nicely formatted change log (using git). Requires gitchangelog to be installed via 'pip install gitchangelog'","",""
"TEST_DESCRIPTION","HELP","","None","This is the top level test recipe","",""
"RESET_DESCRIPTION","HELP","","None","Resets the DRS raw/tmp/db/reduced files based on user input","",""
"RESET_INST_HELP","HELP","","None","[STRING] The instrument to reset","",""
"RESET_LOG_HELP","HELP","","None","[BOOLEAN] If True logs the reset else is quite","",""
"RESET_WARN_HELP","HELP","","None","[BOOLEAN] If True asks for user to type 'YES' before each reset","",""
"REPROCESS_DESCRIPTION","HELP","","None","Reprocess a night or all nights given some options","",""
"REPROCESS_RUNFILE_HELP","HELP","","None","[STRING] The run file to use in reprocessing","",""
"REPROCESS_NIGHTNAME_HELP","HELP","","None","[STRING] The 'night_name' or directory to reprocess (default is None for all directories)","",""
"REPROCESS_FILENAME_HELP","HELP","","None","[STRING] The 'filename' to reprocess (default is None for all files)","",""
"REPROCESS_INST_HELP","HELP","","None","[STRING] The instrument to reprocess","",""
"PPSKIP_HELP","HELP","","None","[BOOLEAN] If True skips preprocessed files that are already found","",""
"HCMODE_HELP","HELP","","None","[INTEGER] the mode to calculate the hc wave solution. 0 = Etienne method","",""
"FPMODE_HELP","HELP","","None","[INTEGER] the mode to calculate the fp+hc wave solution. 0 = following Bauer et al 15 (previously WAVE_E2DS_EA), 1 = following C Lovis (previously WAVE_NEW)","",""
"SET_PROGRAM_HELP","HELP","","None","[STRING] The name of the program to display and use (mostly for logging purpose) log becomes date | {THIS STRING} | Message","",""
"SET_IPYTHON_RETURN_HELP","HELP","","None","[BOOLEAN] If True always returns to ipython (or python) at end (via ipdb or pdb)","",""
