OBJNAME,OBJNAME_SOURCE,GAIADR2ID,GAIAID_SOURCE,RA_DEG,RA_SOURCE,DEC_DEG,DEC_SOURCE,PMRA,PMRA_SOURCE,PMDE,PMDE_SOURCE,PLX,PLX_SOURCE,RV,RV_SOURCE,GMAG,GMAG_SOURCE,BPMAG,BPMAG_SOURCE,RPMAG,RPMAG_SOURCE,EPOCH,EPOCH_SOURCE,TEFF,TEFF_SOURCE,ALIASES,ALIASES_SOURCE,USED,UHASH
16SCO,input,4348404390042854912,gaia-query-id-gsheet,243.0306770539471,gaia-query-id-input,-8.547581631445452,gaia-query-id-input,44.12551107497314,gaia-query-id-input,-0.07825370467354929,gaia-query-id-input,12.648394889056744,gaia-query-id-input,,input,5.383649826049805,gaia-query-id-input,5.47044038772583,gaia-query-id-input,5.292627811431885,gaia-query-id-input,2015.5,gaia-query-id-input,8800.0,HEADER[CFHT],16Sco|HD 145607|TYC 5612-1227-1|HR  6033|WEB 13423|Gaia DR2 4348404390042854912|SAO 141024|*  16 Sco|PLX 3675.00|ROT  2296|GEN# +1.00145607|HIC  79387|2MASS J16120731-0832512|PLX 3675|BD-08  4180|GSC 05612-01227|UBV M  21247|PPM 199398|HIP  79387|GC 21784|uvby98 100145607|TD1 18951|IRAS 16094-0825|GCRV  9313|UBV   13773|SKY# 29247|YZ  98  5629,,1,8b983c4b5c96332e87fc8075c3317c32bd1a0199dc05229d4bc3abd02d2e21e8
17PEG,input,2728431923869085056,gaia-query-id-gsheet,329.23476152306256,gaia-query-id-input,12.076433824111238,gaia-query-id-input,-27.509762784888107,gaia-query-id-input,-12.815500645503619,gaia-query-id-input,7.583223795180946,gaia-query-id-input,0.0,input,5.504919528961182,gaia-query-id-input,5.552576541900635,gaia-query-id-input,5.4570722579956055,gaia-query-id-input,2015.5,gaia-query-id-input,8840.0,HEADER[CFHT],17Peg|AG+11 2735|YZ  11  8738|HIC 108339|UBV M  26010|2MASS J21565637+1204354|HIP 108339|HD 208565|WEB 19513|TD1 28611|*  17 Peg|GEN# +1.00208565|TYC 1130-1972-1|PPM 140856|17PEG|uvby98 100208565|SKY# 41820|HR  8373|GC 30719|GCRV 13788|N30 4836|UBV   18771|GSC 01130-01972|ROT  3192|SAO 107528|BD+11  4696|FK5 3751|Gaia DR2 2728431923869085056,,1,f34a00af9188a7ccbbfb0404f5a142245ba0b30fd133472bb28fd6459964febe
18_PUP_B,input,5725122965270676864,gaia-query-id-gsheet,122.6417874339313,gaia-query-id-input,-13.81393774666688,gaia-query-id-input,-249.06854791341448,gaia-query-id-input,61.642712170774736,gaia-query-id-input,47.80885532874711,gaia-query-id-input,32.5190402355434,gaia-query-id-input,10.920605659484863,gaia-query-id-input,12.114315032958984,gaia-query-id-input,9.769883155822754,gaia-query-id-input,2015.5,gaia-query-id-input,3600.0,HEADER[CFHT],"*  18 Pup B|Gaia DR2 5725122965270676864|GJ   297.2 B|PM J08105-1348|IDS 08059-1330 B|GJ  9255 B|CSI-13  2420  2|** LDS  204B|WDS J08107-1348B|2MASS J08103429-1348514|UCAC4 381-046868|Karmn J08105-138AB|HD  68146B|L  818-80|LP  724-22|** JOD    4|[RHG95]  1287|L  818-40|CCDM J08106-1348B|WDS J08107-1348Ba,Bb|LTT  3069|NLTT 19072|BD-13  2420B",,1,f08f2979b20c17f4100bed3274c15d83fe0b239398b09f1b30885c7535312a95
1RXSJ173353_5_165515,input,4549983418742839808,gaia-query-id-gsheet,263.4709666026625,gaia-query-id-input,16.919732716915274,gaia-query-id-input,-122.08322835424379,gaia-query-id-input,-116.00252386657942,gaia-query-id-input,62.3715260716875,gaia-query-id-input,,input,12.39874267578125,gaia-query-id-input,14.570121765136719,gaia-query-id-input,11.027674674987793,gaia-query-id-input,2015.5,gaia-query-id-input,2848.0,HEADER[CFHT],1RXSJ173353.5+165515|1SWASP J173353.14+165512.8|WISEA J173353.07+165511.6|2MASS J17335314+1655129|Karmn J17338+169|1RXS J173353.5+165515|V* V1274 Her|LSPM J1733+1655|PM J17338+1655|Gaia DR2 4549983418742839808|USNO-B1.0 1069-00320388|ASAS J173353+1655.2|UCAC4 535-065571,,1,fca7435b055df226ed24c573a5a749ef1bf17bd33105ea9a7812284f8485a35d
20_LMI_B,input,746545859566712832,gaia-query-id-gsheet,150.2065628389088,gaia-query-id-input,31.92737712366331,gaia-query-id-input,-526.8298962358757,gaia-query-id-input,-431.4070392778027,gaia-query-id-input,68.88260354053237,gaia-query-id-input,-9999.99,input,14.13000202178955,gaia-query-id-input,16.777103424072266,gaia-query-id-input,12.677678108215332,gaia-query-id-input,2015.5,gaia-query-id-input,3286.0,HEADER[CFHT],* 20 LMi B|[ZEH2003] RX J1000.8+3155  1|HD  86728B|RBS   820|GJ   376 B|LSR J1000+3155|[FS2003] 0537|Karmn J10008+319|** RAG    7B|USNO-B1.0 1219-00195906|*  20 LMi B|2MASS J10005030+3155459|Gaia DR2 746545859566712832|RX J1000.8+3155|UCAC4 610-046343|WISEA J100049.78+315540.7|2MASSW J1000503+315545|BD+32  1964B|LSPM J1000+3155|WDS J10010+3155B|CCDM J10010+3155B|1RXS J100050.9+315555,,1,2bce48932027dae608e9640f087f364d4e163cdf6a24e7756f0c2175872ca693
23LMI,input,741357981454593536,gaia-query-id-gsheet,154.05977633576634,gaia-query-id-input,29.31037596169318,gaia-query-id-input,-70.5898112568857,gaia-query-id-input,-22.95005698548399,gaia-query-id-input,11.692045430409049,gaia-query-id-input,0.0,input,5.4712395668029785,gaia-query-id-input,5.504825115203857,gaia-query-id-input,5.496269226074219,gaia-query-id-input,2015.5,gaia-query-id-input,9700.0,HEADER[CFHT],23LMi|HD  88960|23LMI|BD+30  1981|FK5 2823|ROT  1546|HIP  50303|TD1 14689|GSC 01975-01399|IRAS 10134+2933|YZ  29  5271|WEB  9237|GC 14086|2MASS J10161444+2918379|Gaia DR2 741357981454593536|UBV M  16070|UBV    9521|uvby98 100088960|*  23 LMi|HR  4024|TYC 1975-1399-1|HIC  50303|PPM 100213|GEN# +1.00088960|GCRV  6468|SKY# 19743|SAO  81258|AG+29 1104,,1,b6fb2cef3a6936af8c7244ba61996242f33de6b4bf60bf37a062aa251f96c3a4
24LYN,input,1082548980858594560,gaia-query-id-gsheet,115.75142311635267,gaia-query-id-input,58.71013375302705,gaia-query-id-input,-37.010936189992194,gaia-query-id-input,-52.730348865133145,gaia-query-id-input,12.725388969421951,gaia-query-id-input,0.0,input,4.884690284729004,gaia-query-id-input,4.9808831214904785,gaia-query-id-input,4.837820529937744,gaia-query-id-input,2015.5,gaia-query-id-input,8786.0,HEADER[CFHT],24Lyn|*  24 Lyn|TYC 3794-1738-1|IRAS 07387+5849|HIP  37609|UBV M  13483|HD  61497|WEB  7434|CSI+59  1103  1|HIC  37609|BD+59  1103|AG+58  607|IDS 07346+5857 A|ROT  1236|JP11  1581|uvby98 100061497 A|UBV    7356|TD1 10663|SAO  26474|FK5  292|SKY# 14252|Gaia DR2 1082548980858594560|PMC 90-93   213|PLX 1806.00|YZ  58  5184|N30 1737|ADS  6285 A|AKARI-IRC-V1 J0743003+584236|HR  2946|PLX 1806|WDS J07430+5843A|GCRV  5121|PPM  31272|GSC 03794-01738|GEN# +1.00061497A|24LYN|CCDM J07430+5843A|GC 10343|2MASS J07430040+5842372,,1,43dc155e54e8f2f33848cd69d0f7fc153598b22a48759801c73797ae7c89728d
2M16042165_2130284,input,6243393817024157184,gaia-query-id-gsheet,241.09017073815778,gaia-query-id-input,-21.508033039637386,gaia-query-id-input,-12.329746867946234,gaia-query-id-input,-23.829950394362474,gaia-query-id-input,6.6615043823044005,gaia-query-id-input,-7.603148133821145,gaia-query-id-input,11.868547439575195,gaia-query-id-input,12.578362464904785,gaia-query-id-input,10.944693565368652,gaia-query-id-input,2015.5,gaia-query-id-input,4500.0,HEADER[CFHT],2M16042165-2130284|2MASS J16042165-2130284|[PBB2002] USco J160421.7-213028|[KKL2000b] RX J1604.3-2130A|[PZ99] J160421.7-213028|WISEA J160421.64-213028.7|RX J1604.3-2130A|J1604|EPIC 204638512|Gaia DR2 6243393817024157184|[KKL2000b] 90,,1,354d9a4af9010a33117e4770c03281b65a49a9e0e252e20a9e55bc3340249ce2
2MASSIJ1108307_683017,input,1060313492785021312,gaia-query-id-gsheet,167.12543664065038,gaia-query-id-input,68.50378915999254,gaia-query-id-input,-237.64398016017822,gaia-query-id-input,-198.08105986824884,gaia-query-id-input,61.353722269787674,gaia-query-id-input,-9999.99,input,18.145723342895508,gaia-query-id-input,21.237024307250977,gaia-query-id-input,16.520130157470703,gaia-query-id-input,2015.5,gaia-query-id-input,3000.0,HEADER[CFHT],2MASSIJ1108307+683017|2MASS J11083081+6830169|WISEA J110830.32+683014.6|USNO-B1.0 1585-00117168|2MASSW J1108307+683017|V* MM UMa|2MASSI J1108307+683017|2MUCD 10960|Gaia DR2 1060313492785021312|LSPM J1108+6830|WISEP J110830.33+683014.8|PSO J167.1260+68.5039,,1,fd1e30c52bb9dd4a809f5ee350f5459b33ecfcf495f4f0221c566a5b3c5710f3
2MASSJ083521,input,704762317472249728,gaia-query-id-gsheet,128.83929094987516,gaia-query-id-input,29.25722090092691,gaia-query-id-input,-2.4573449544207175,gaia-query-id-input,-2.6141199106799187,gaia-query-id-input,0.6125807302969424,gaia-query-id-input,,input,12.398579597473145,gaia-query-id-input,12.454366683959961,gaia-query-id-input,12.267260551452637,gaia-query-id-input,2015.5,gaia-query-id-input,8500.0,HEADER[CFHT],2MASSJ083521|Gaia DR2 704762317472249728|Pul -3  440172|2MASS J08352143+2915260|GPM 128.839255+29.257327,,1,7ffc79cc25d2ffda8103e6f0a4a7dc577269366542b8c212b508aec99aacf8cd
