nsig,xpix,ypix
59.8647346496582,986,4
172.79537963867188,1553,4
156.81759643554688,1968,4
30.72591781616211,2767,4
877.9290161132812,3359,4
808.6765747070312,3372,4
81.56196594238281,2516,6
64.41047668457031,652,9
204.22003173828125,2325,9
43.514320373535156,1065,10
55.18701171875,1104,10
11.036551475524902,3164,12
132.23936462402344,244,14
43.1548957824707,1316,14
11.023360252380371,3196,16
136.99063110351562,3556,17
16.54977035522461,2686,19
20.486801147460938,2544,22
12.087677955627441,640,23
13.191569328308105,2553,25
16.948041915893555,901,27
703.0781860351562,1335,27
63.507720947265625,381,28
75.63343811035156,1775,28
209.74464416503906,1577,29
197.89630126953125,2007,29
227.11082458496094,2669,29
61.83032989501953,177,30
19.570175170898438,556,30
161.38424682617188,1622,30
116.58202362060547,1405,31
42.09836196899414,1875,31
14.246716499328613,2876,32
631.0814819335938,3074,32
11.681352615356445,3111,33
52.11257553100586,3379,33
49.05046463012695,3865,33
75.17945861816406,1977,35
29.89958953857422,2325,35
141.95565795898438,87,36
561.1170654296875,779,36
75.90962982177734,2868,37
670.6049194335938,3756,37
58.777095794677734,1278,40
703.2382202148438,270,42
727.99658203125,1743,42
1042.2469482421875,2045,42
103.6395034790039,2414,43
42.056602478027344,3231,44
55.39371871948242,109,48
197.5504150390625,2862,48
10.575324058532715,1506,50
188.47119140625,2625,50
21.464632034301758,111,51
22.247745513916016,2488,51
20.603057861328125,2472,52
675.1295776367188,914,54
782.19873046875,3508,55
299.9102783203125,2350,56
10.401331901550293,3590,56
918.9273681640625,3706,56
26.050783157348633,134,57
20.413646697998047,239,57
353.9345397949219,777,57
83.89588928222656,1200,57
23.60868263244629,1150,58
60.54981994628906,2405,61
219.27366638183594,3419,61
16.502296447753906,4035,61
240.54833984375,576,62
70.81179809570312,356,63
67.57073974609375,1382,63
12.55090618133545,2529,65
70.26815795898438,3398,65
462.0473937988281,869,66
657.6375732421875,1800,66
1037.0491943359375,3288,66
1207.835693359375,3746,66
15.31368350982666,3455,67
22.347951889038086,1545,68
906.6500854492188,1450,69
14.112061500549316,2548,70
877.4544677734375,1571,71
724.096435546875,2033,73
16.69684600830078,2833,73
623.6497802734375,3258,73
321.2943420410156,2201,74
851.0859985351562,5,75
481.65240478515625,1816,76
314.14666748046875,3682,76
52.52718734741211,70,77
84.1075210571289,2261,77
631.9501342773438,1561,78
531.3365478515625,3877,78
71.32910919189453,894,79
96.89111328125,1645,79
207.56983947753906,2586,79
63.45127868652344,3414,79
528.4092407226562,923,80
765.1965942382812,3149,80
103.69605255126953,3937,80
3717.748779296875,1272,81
703.5062866210938,3097,81
291.7315979003906,3307,82
689.4371337890625,1776,83
922.6251831054688,2260,83
21.90479278564453,3488,83
12.672368049621582,449,84
797.77880859375,1266,84
24.155447006225586,2456,84
54.61892318725586,3457,85
319.8265686035156,1004,86
332.3390808105469,3618,86
128.13241577148438,2818,87
184.45220947265625,3466,87
1608.0540771484375,238,89
32.55397415161133,963,89
15.134419441223145,3266,89
358.3008117675781,1886,90
66.93582153320312,2274,90
29.897232055664062,311,91
612.5092163085938,3049,91
861.1077880859375,1656,94
542.5231323242188,3542,94
13.865516662597656,3356,95
34.454044342041016,2242,96
23.003475189208984,2960,96
26.68721580505371,3593,96
18.48199462890625,3789,96
558.6849975585938,1342,97
954.2711791992188,2576,97
24.513370513916016,3493,97
749.0074462890625,1864,98
11.392524719238281,1943,98
61.77327346801758,3889,98
12.304571151733398,1053,100
632.802490234375,1379,101
11.57841968536377,2104,101
187.89451599121094,2969,101
153.52394104003906,4017,101
1063.553955078125,22,102
795.9304809570312,1383,103
644.12060546875,1596,103
359.44775390625,3631,103
46.044334411621094,3940,104
11.370758056640625,1581,106
944.6259155273438,2427,107
118.84132385253906,58,108
513.2409057617188,746,109
99.15897369384766,1263,109
914.6461181640625,1920,109
1116.060546875,3567,109
1295.06396484375,2395,110
25.698406219482422,28,111
802.5474853515625,2817,111
50.325233459472656,3986,111
383.82965087890625,3558,112
33.845664978027344,1195,113
69.31342315673828,838,114
19.449182510375977,1137,114
34.70564270019531,1994,115
86.917724609375,3267,117
41.57753372192383,1670,119
10.407853126525879,2515,119
13.472679138183594,3712,119
14.73041820526123,3876,119
11.959854125976562,685,120
14.132244110107422,535,121
20.99686050415039,693,121
64.85293579101562,1186,121
859.8499145507812,476,123
1066.299560546875,1625,123
155.6676025390625,3922,123
53.52725601196289,1059,124
407.18218994140625,1111,124
26.16622543334961,2658,125
680.8887939453125,2775,125
92.72496032714844,3944,126
162.7165069580078,1680,127
444.5413513183594,2715,127
33.308013916015625,3816,127
389.9422302246094,3020,129
566.0506591796875,1196,130
306.1289367675781,241,133
708.8768920898438,606,133
260.1685485839844,1389,133
922.144287109375,3663,133
54.04439926147461,1530,135
1462.3050537109375,942,136
16.732358932495117,3232,137
172.7939453125,1616,138
279.9996643066406,2926,138
600.0602416992188,3019,138
103.96109771728516,1983,139
458.1431884765625,1536,141
31.272045135498047,297,142
315.73760986328125,1931,142
370.8983459472656,849,143
109.0549087524414,48,144
281.1877746582031,275,144
347.2081604003906,1488,144
70.51319122314453,3457,144
286.9928283691406,184,145
21.671974182128906,3875,146
149.97235107421875,363,147
772.062744140625,502,147
16.553606033325195,3897,147
304.91064453125,3269,148
844.2291259765625,51,149
11.823463439941406,2078,149
71.2553939819336,3123,149
34.59605407714844,1389,150
1052.19580078125,2265,150
369.6679382324219,2515,151
544.63623046875,2618,152
14.130929946899414,765,155
36.7623176574707,3409,155
119.9896011352539,3597,155
17.14006996154785,804,156
10.669333457946777,1450,156
599.9569702148438,2953,156
17.8794002532959,243,157
17.935321807861328,624,157
60.19240951538086,454,158
711.1228637695312,3843,158
28.578832626342773,2264,159
279.39935302734375,3733,160
95.66582489013672,1402,161
11.133854866027832,4052,161
12.811800003051758,1651,162
113.25743865966797,1982,162
195.06192016601562,711,165
16.719661712646484,935,165
253.63357543945312,2863,165
20.793701171875,154,166
569.3890991210938,2326,166
608.8781127929688,3307,166
11.492587089538574,2138,167
442.23248291015625,951,168
116.09362030029297,889,169
31.28561019897461,1872,170
51.47712326049805,2235,170
109.3893814086914,65,172
35.16811752319336,426,172
433.1538391113281,3171,174
511.41497802734375,3525,174
84.44160461425781,67,175
318.1560363769531,781,176
255.9449920654297,1062,176
64.52557373046875,3153,176
19.851348876953125,341,177
84.93840026855469,1368,177
23.563617706298828,1438,177
53.074913024902344,3312,177
494.32965087890625,4059,177
551.376708984375,847,178
673.6812744140625,1985,179
591.4652709960938,2390,179
866.68994140625,3040,179
16.997373580932617,160,180
359.1922302246094,1915,180
545.5907592773438,1579,181
51.259925842285156,3141,181
