wavelength,strength,ID
961.0884,486.31,UI
961.1236,105.32,UI
961.5233,60.14,UI
961.6517,81.61,UI
961.7804,42.27,UI
961.9171,71.35,UI
961.969,1835.48,UI
962.0807,67.02,UI
962.495,160.64,UI
962.5504,41.72,UI
962.6747,29.78,UI
962.7639,44.28,UI
962.8053,798.45,UI
962.8729,39.62,UI
962.9704,36.31,UI
963.1019,34.36,?
963.1457,49.68,?
963.2119,65.4,UI
963.2426,85.7,UI
963.2714,34.73,UI
963.3784,47.93,UI
963.4793,15.72,UI
963.5599,72.22,UI
963.6273,47.09,UI
963.7809,36.81,UI
963.841,54.37,UI
964.0511,32.58,UI
964.2317,39.3,UI
964.2532,58.95,UI
964.2644,98.64,UI
964.4226,78.59,UI
964.471,828.93,UI
964.7049,45.96,UI
964.8009,649.8,UI
964.8515,3515.59,UI
964.8773,653.28,UI
964.962,128.27,UI
965.1822,1534.42,UI
965.2256,57.26,UI
965.2582,240.43,UI
965.3596,50.92,UI
965.5902,2408.37,UI
965.893,47.18,UI
965.962,43.92,UI
966.0587,24.98,UI
966.179,23.06,UI
966.2111,69.94,UI
966.2227,68.39,UI
966.3,361.56,UI
966.3118,47.16,UI
966.4688,38.89,UI
966.4928,151.57,UI
966.6244,12.07,UI
966.7212,145.52,UI
966.8072,9959.24,Ne
966.823,140.13,UI
966.8502,105.74,UI
967.07,213.45,UI
967.1665,138.55,UI
967.3065,100.69,UI
967.4233,22.84,UI
967.8033,77.21,UI
967.8196,33.33,UI
967.885,22.85,UI
968.0039,212.91,UI
968.2205,18.44,UII
968.2382,79.06,?
968.4325,52.66,UI
968.5206,137.92,UI
968.5612,9.63,UI
968.6957,47.97,UI
968.8064,38.38,UI
968.824,89.37,UI
968.9056,38.9,UI
969.1478,54.91,UI
969.3547,66.2,UII
969.4841,132.97,UI
969.6605,29.73,UI
969.6733,161.77,UI
969.8704,132.19,UI
970.0059,1007.87,UI
970.0686,169.22,UI
970.1116,21.7,UI
970.3183,16.33,UI
970.4624,31.15,UI
970.6193,251.62,UI
970.6426,67.16,UI
970.672,72.87,UI
970.6866,56.66,UI
970.7131,164.31,UI
970.7995,73.82,UI
970.8997,34.97,UI
971.1204,49.49,UI
971.2758,21.7,UI
971.2921,19.2,UI
971.3996,27.38,UI
971.561,38.83,UI
971.6182,26.22,UI
971.7374,99.97,UI
971.7728,48.62,UI
972.0296,30.84,UI
972.137,34.11,UII
972.1961,24.53,UI
972.4276,36.37,UI
972.6834,28.15,UI
972.6988,167.36,UI
972.7598,43.97,UI
972.9472,46.05,UII
972.9988,681.33,UI
973.1405,56.01,UI
973.1688,23.22,UI
973.2724,37.94,UII
973.3236,30.19,UI
973.4038,151.03,UI
973.677,166.03,UI
973.7021,47.1,UI
973.9248,30.25,UII
974.2958,177.18,UI
974.3944,87.93,UI
974.4324,79.63,UI
974.5445,70.72,UI
974.8282,60.65,UI
974.8755,92.3,UI
974.9685,413.07,UI
975.0198,32.86,UI
975.0326,40.11,UI
975.0934,43.06,UI
975.1251,31.86,UI
975.471,88.1,UI
975.6498,67.99,UI
975.6946,54.52,UI
975.7371,99.62,UI
975.8495,33.58,UI
975.903,27.91,UI
976.0086,59.6,UI
976.0575,50.49,UI
976.0794,29.4,UI
976.1924,26.01,UI
976.21,30.56,UI
976.238,217.12,UI
976.3327,968.26,UI
976.3884,33.15,UI
976.4453,56.07,UI
976.6471,16.84,UI
976.7926,25.18,UI
976.8275,30.88,UI
976.8566,40.54,UI
976.8702,65.15,UI
977.0024,70.81,?
977.1256,77.35,UI
977.1938,21.62,UI
977.6,17.85,UI
977.6329,53.34,UI
977.7072,152.8,UI
977.7395,75.72,UI
977.7469,52.85,UI
977.8085,245.07,UI
977.9159,122.23,UI
977.9599,35.25,UI
978.1205,38.39,UI
978.1568,110.33,UI
978.1929,28.33,UI
978.404,43.33,UI
978.6362,107.32,UI
978.8899,12.82,UI
979.0229,26.44,UI
979.0511,192.65,UI
979.3064,165.35,UI
979.366,188.75,UI
979.4405,258.97,UI
979.4686,46.7,UI
979.5536,24.12,UI
979.5687,62.87,UI
