OBJNAME,OBJNAME_SOURCE,GAIAID,GAIAID_SOURCE,RA,RA_SOURCE,DEC,DEC_SOURCE,PMRA,PMRA_SOURCE,PMDE,PMDE_SOURCE,PLX,PLX_SOURCE,RV,RV_SOURCE,GMAG,GMAG_SOURCE,BPMAG,BPMAG_SOURCE,RPMAG,RPMAG_SOURCE,EPOCH,EPOCH_SOURCE,TEFF,TEFF_SOURCE,ALIASES,ALIASES_SOURCE,USED
GJ3378,input,999747822484300800,gaia-query-id-gsheet,90.29513018048799,gaia-query-id-input,59.593191709079804,gaia-query-id-input,-104.92360133935729,gaia-query-id-input,-928.7563317721102,gaia-query-id-input,129.45887126938604,gaia-query-id-input,NAN,input,10.408431053161621,gaia-query-id-input,12.008722305297852,gaia-query-id-input,9.211174011230469,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,GJ3378|LHS  1805|G 192-13|GJ  3378|LFT  443|L 1813-21|LP   86-137|LSPM J0601+5935|LTT 11755|2MASS J06011106+5935508|NLTT 15885|8pc 132.10|PLX 1373.01|PM J06011+5935|USNO-B1.0 1495-00160060|WISEA J060110.89+593540.3|[RHG95]   998|Gaia DR2 999747822484300800,SIMBAD,1
GL251,input,939072613334579328,gaia-query-id-gsheet,103.70024991580382,gaia-query-id-input,33.26646324838446,gaia-query-id-input,-726.3942419021198,gaia-query-id-input,-398.13404749972705,gaia-query-id-input,179.164208148064,gaia-query-id-input,NAN,input,8.855180740356445,gaia-query-id-input,10.277986526489258,gaia-query-id-input,7.713395118713379,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,GL251|LHS  1879|AC +33 25644|ASCC  574333|Ci 20  400|CSI+33-06516|GCRV  4506|GEN# +9.80087012|GEN# +6.10010251|G  87-12|G 103-68|GJ   251|HD 265866|HIC  33226|HIP  33226|IRAS 06515+3320|JP11  5122|JP11  5121|JP11  5123|JP11  5120|Karmn J06548+332|LFT  497|LSPM J0654+3316|LTT 11941|2MASS J06544902+3316058|MCC 482|NLTT 17147|8pc 181.32|PLX 1609|PLX 1609.00|PM J06548+3316|StKM 2-440|TYC 2441-572-1|UBV M  42939|UCAC2  43431171|UCAC4 617-038292|USNO-B1.0 1232-00178536|WEB  6685|WISEA J065448.38+331601.2|Wolf  294|Zkh  95|[RHG95]  1094|Gaia DR2 939072613334579328|Gaia DR1 939072609037892224,SIMBAD,1
GJ1105,input,922225002820369152,gaia-query-id-gsheet,119.55416818532466,gaia-query-id-input,41.30073793715854,gaia-query-id-input,217.00386745248485,gaia-query-id-input,-687.7614290810731,gaia-query-id-input,113.08969444521574,gaia-query-id-input,NAN,input,10.6655912399292,gaia-query-id-input,12.260366439819336,gaia-query-id-input,9.465142250061035,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,GJ1105|LHS  1963|ASCC  402755|GEN# +9.80111047|G 111-47|GJ  1105|HIC  38956|HIP  38956|Karmn J07582+413|LSPM J0758+4118|2MASS J07581269+4118134|NLTT 18699|PLX 1875.01|PM J07582+4118|TYC 2968-1142-1|UBV M  53745|UCAC2  46137824|UCAC4 657-049582|USNO-B1.0 1313-00192853|USNO 133|Zkh 115|[RHG95]  1247|Gaia DR2 922225002820369152,SIMBAD,1
33LYN,input,909820931110880640,gaia-query-id-gsheet,128.68271394771872,gaia-query-id-input,36.419444821646266,gaia-query-id-input,-26.116616005680054,gaia-query-id-input,-40.89996873740448,gaia-query-id-input,9.9952731036868,gaia-query-id-input,NAN,input,5.730706214904785,gaia-query-id-input,5.770686149597168,gaia-query-id-input,5.689286231994629,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,33LYN|*  33 Lyn|AG+36  857|BD+36  1840|GC 11744|GCRV  5634|GEN# +1.00072524|GSC 02489-02141|HD  72524|HIC  42090|HIP  42090|HR  3377|2MASS J08344388+3625107|PPM  73821|Renson 20100|SAO  60907|SKY# 16381|TD1 12658|TYC 2489-2141-1|UBV    8134|UBV M  14440|uvby98 100072524|WEB  8092|Gaia DR2 909820931110880640,SIMBAD,1
GJ1151,input,786834302079285632,gaia-query-id-gsheet,177.73048660466137,gaia-query-id-input,48.373233441763595,gaia-query-id-input,-1545.7036687908674,gaia-query-id-input,-962.8160740980868,gaia-query-id-input,124.40735133330487,gaia-query-id-input,NAN,input,11.693838119506836,gaia-query-id-input,13.553186416625977,gaia-query-id-input,10.406258583068848,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,GJ1151|LHS   316|GALEX 3858637239337622240|GEN# +9.80122049|G 122-49|GJ  1151|ILT J115055.50+482225.2|Karmn J11509+483|LSPM J1150+4822|2MASS J11505787+4822395|NLTT 28752|PLX 2739.01|PM 11485+4840|PM J11509+4822|StKM 2-769|UBV M  53759|USNO-B1.0 1383-00239712|USNO 144|WISEA J115056.09+482228.4|Zkh 171|[RHG95]  1854|Gaia DR2 786834302079285632,SIMBAD,1
GL412A,input,778947608243864320,gaia-query-id-gsheet,166.35292095513066,gaia-query-id-input,43.525774119754225,gaia-query-id-input,-4339.890561649546,gaia-query-id-input,960.7803929914886,gaia-query-id-input,204.05915550532745,gaia-query-id-input,NAN,input,12.274656295776367,gaia-query-id-input,14.73934555053711,gaia-query-id-input,10.870428085327148,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,GL412A|BD+44  2051B|** VBS   18B|AKARI-IRC-V1 J1105281+433123|CCDM J11055+4332B|CSI+44  2051  2|1E 1103.0+4346|2E  2394|2E 1102.8+4347|GEN# +0.04402051B|G 176-12|GJ   412 B|JP11   180|JP11   181|Karmn J11055+435|LFT  758|LHS    39|LSPM J1105+4331E|LTT 12977|2MASS J11053133+4331170|NAME PM I11055+4331|NLTT 26247|8pc 206.94B|PM 11030+4347|PM J11055+4331|RX J1105.5+4331|1RXS J110534.5+433120|UCAC2  46827683|USNO-B1.0 1335-00220269|USNO 719|V* WX UMa|WDS J11055+4332B|WISEA J110526.65+433128.1|WISE J110526.74+433128.0|Zkh 151|[GKL99] 234|[RHG95]  1724|[ZEH2003] RX J1105.5+4331  2|Gaia DR2 778947608243864320,SIMBAD,1
LP214-26,input,777005625896147072,gaia-query-id-gsheet,166.0651983837998,gaia-query-id-input,40.00421267131107,gaia-query-id-input,-200.26725831983097,gaia-query-id-input,-104.09808643148769,gaia-query-id-input,32.91811735286988,gaia-query-id-input,28.736661946135055,gaia-query-id-input,10.15965461730957,gaia-query-id-input,10.99109935760498,gaia-query-id-input,9.20760440826416,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,LP214-26|GJ  3640|ASCC  407561|GSC 03010-01216|HAT 183-00175|HIC  54105|HIP  54105|LP  214-26|LSPM J1104+4000|2MASS J11041590+4000165|NLTT 26156|PM J11042+4000|StKM 2-696|TYC 3010-1216-1|UCAC2  45825243|UCAC4 651-050998|USNO-B1.0 1300-00210749|WISEA J110415.71+400015.8|[RHG95]  1720|Gaia DR2 777005625896147072|Gaia DR1 777005625896147072,SIMBAD,1
GJ1148,input,772430527947893632,gaia-query-id-gsheet,175.43260807231468,gaia-query-id-input,42.751586224070834,gaia-query-id-input,-575.6538577809173,gaia-query-id-input,-89.97354188570677,gaia-query-id-input,90.76232277100293,gaia-query-id-input,NAN,input,10.576888084411621,gaia-query-id-input,12.161713600158691,gaia-query-id-input,9.377120018005371,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,GJ1148|LHS  2443|ASCC  408337|G 122-40|GJ  1148|HAT 141-00143|HIC  57050|HIP  57050|Karmn J11417+427|LFT  836|LSPM J1141+4245|LTT 13210|2MASS J11414471+4245072|NLTT 28266|PLX 2703.01|PM J11417+4245|Ross 1003|TYC 3016-1877-1|UCAC2  46566670|UCAC4 664-056772|USNO 725|USNO-B1.0 1327-00279297|WISEA J114144.08+424506.2|[RHG95]  1827|Gaia DR1 772430901610348032|Gaia DR2 772430527947893632,SIMBAD,1
GL411,input,762815333123157760,gaia-query-id-gsheet,165.80183726909658,gaia-query-id-input,35.92725887291346,gaia-query-id-input,5.483971867477193,gaia-query-id-input,-5.54117750784688,gaia-query-id-input,1.8737854227508086,gaia-query-id-input,NAN,input,13.45462703704834,gaia-query-id-input,13.775323867797852,gaia-query-id-input,12.980684280395508,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,GL411,None,1
V*CWUMA,input,758200712885953280,gaia-query-id-gsheet,167.96467732630083,gaia-query-id-input,33.536954551740536,gaia-query-id-input,-176.10414058402574,gaia-query-id-input,116.43257109706227,gaia-query-id-input,74.86141804470705,gaia-query-id-input,NAN,input,11.144145965576172,gaia-query-id-input,12.652019500732422,gaia-query-id-input,9.956343650817871,gaia-query-id-input,2015.5,gaia-query-id-input,NAN,input,V*CWUMA|GJ  3647|ASCC  585783|CSV   1710|G 119-62|HAT 228-00237|LSPM J1111+3332W|2MASS J11115176+3332111|NLTT 26581|PLX 2604.01|PM J11118+3332S|RBS   949|RX J1111.8+3332|1RXS J111151.8+333213|StKM 2-708|SV* P   719|SV* SVS   314|UCAC4 618-048637|USNO-B1.0 1235-00200538|V* CW UMa|[GKL99] 235|[RHG95]  1742|[ZEH2003] RX J1111.8+3332  1|Gaia DR2 758200712885953280,SIMBAD,1
