order lower upper
0 963.6 986.0
1 972.0 998.4
2 986.3 1011
3 1000.1 1020
4 1015 1035
5 1027.2 1050
6 1042 1065
7 1055 1078
8 1070 1096
9 1084 1112.8
10 1098 1128
11 1113 1146
12 1131 1162
13 1148 1180
14 1166 1198
15 1184 1216
16 1202 1235
17 1222 1255
18 1243 1275
19 1263 1297
20 1284 1320
21 1306 1342
22 1328 1365
23 1352 1390
24 1377 1415
25 1405 1440
26 1429 1470
27 1456 1497
28 1485 1526
29 1515 1557
30 1545 1590
31 1578 1623
32 1609 1657
33 1645 1692
34 1681 1731
35 1722 1770
36 1760 1810
37 1800 1855
38 1848 1900
39 1890 1949
40 1939 1999
41 1991 2050
42 2044.5 2105
43 2104 2162
44 2161 2226
45 2225 2293
46 2291 2362
47 2362 2430
48 2440 2510
