"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
"DRS_DESCRIPTION","HELP","","None","This is the default DRS description message","None","None"
"ADD_CAL_HELP","HELP","","None","[BOOLEAN] Whether to add outputs to calibration database","[BOOLEAN] S'il faut ajouter des sorties à la base de données d'étalonnage ",""
"ALLLISTING_HELP","HELP","","None","Lists ALL the night name directories in the input directory if used without a 'directory' argument or lists the files in the given 'directory' (if defined)","Répertorie TOUS les répertoires de noms de nuit du répertoire d'entrée s'il est utilisé sans l'argument 'directory' ou répertorie les fichiers du 'répertoire' donné (si défini)",""
"AND_TEXT","TEXT","","None","and","et",""
"BREAKPOINTS_HELP","HELP","","None","If set then any breakpoints in the code are executed","",""
"BREAKFUNC_HELP","HELP","","None","Given a function name will break when this function is found (only if function contains display_func)","",""
"CHANGELOG_DESCRIPTION","HELP","","None","Produces a nicely formatted change log (using git). Requires gitchangelog to be installed via 'pip install gitchangelog'","",""
"DEBUG_HELP","HELP","","None","Activates debug mode (Advanced mode [INTEGER] value must be an integer greater than 0, setting the debug level)","Active le mode débogage (la valeur en mode avancé [INTEGER] doit être un entier supérieur à 0, définissant le niveau de débogage)",""
"DESCRIPTION_TEXT","TEXT","","None"," Description:"," La description: ",""
"DIRECTORY_HELP","HELP","","None","[STRING] The 'night_name' or absolute path of the directory","[STRING] Le 'night_name' ou chemin absolu du répertoire ",""
"EXAMPLES_TEXT","TEXT","","None"," Example uses:"," Exemple d'utilisation: ",""
"FILE_HELP","HELP","","None","[STRING] A single fits files. ","[STRING] Un seul correspond à des fichiers. ",""
"FILES_HELP","HELP","","None","[STRING/STRINGS] A list of fits files to use separated by spaces. ","[STRING / STRINGS] Liste des fichiers de correspondance à utiliser séparés par des espaces. ",""
"FPMODE_HELP","HELP","","None","[INTEGER] the mode to calculate the fp+hc wave solution. 0 = following Bauer et al 15 (previously WAVE_E2DS_EA), 1 = following C Lovis (previously WAVE_NEW)","",""
"HCMODE_HELP","HELP","","None","[INTEGER] the mode to calculate the hc wave solution. 0 = Etienne method","",""
"INFO_HELP","HELP","","None","Displays the short version of the help menu","Affiche la version courte du menu d'aide",""
"INTERACTIVE_HELP","HELP","","None","[BOOLEAN] Whether to run in interactive mode – 0 to be in non-interactive mode","",""
"LISTING_DESC","HELP","","None","Rebuilds index files","",""
"LISTING_HELP","HELP","","{0} = limit","Lists the night name directories in the input directory if used without a 'directory' argument or lists the files in the given 'directory' (if defined). Only lists up to {0} files/directories","Répertorie les répertoires de noms de nuit dans le répertoire d'entrée s'ils sont utilisés sans l'argument 'directory' ou répertorie les fichiers du 'répertoire' donné (si défini). Ne répertorie que jusqu'à {0} fichiers / répertoires",""
"LISTING_HELP_INSTRUMENT","HELP","","None","[STRING] The instrument to rebuild for","",""
"LISTING_HELP_KIND","HELP","","None","[STRING] The kind of indexs to rebuild (i.e. raw, tmp or reduced)","",""
"LISTING_HELP_NIGHTNAME","HELP","","None","[STRING] The directory/nightname to rebuild for (default is to do all directories)","",""
"NO_TEXT","TEXT","","None","no","non",""
"OPTIONS_TEXT","TEXT","","None"," options"," les options ",""
"OR_TEXT","TEXT","","None","or","ou",""
"PLOT_HELP","HELP","","None","[INTEGER] Plot level. 0 = off, 1 = interactively, 2 = save to file","[BOOLEAN] Niveau de graphique. 0 = désactivé, 1 = interactivement, 2 = enregistrer dans un fichier",""
"POS_ARG_TEXT","TEXT","","None"," positional arguments"," arguments de position",""
