"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
0,"ERROR","None","None","This is the Default error message","None","None"
"00-000-99999","None","Test message","None","This is a test message","Ceci est un message test",""
"","ERROR","Dev Error","None","Dev Error: General Error","",""
"00-000-00001","ERROR","Means that recipe was not found in PYTHONPATH (either PYTHONPATH is wrong or recipe is not in PYTHONPATH)","{0} = module (recipe) name","Cannot find module '{0}' \n\t Problem with recipe defintion \n\tRecipe name must match recipe python file name and be in PYTHONPATH","",""
"00-000-00002","ERROR","Catch a error pushed out by python","{0} = error type; {1} = error message; {2} = function name","Error {0}: {1} \n\t Function = {2}","",""
"00-000-00003","ERROR","Means that cannot import module","{0} = module name; {1} = package name; {2} = function name; {3} = error type; {4} = error message; {5} = traceback","Cannot import module '{0}' from '{1}' \n\t Function = {2} \n\t Error {3}: {4} \n\n Traceback: \n\n {5}","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"00-001-00000","ERROR","Dev Error: Class/Function Input Error","None","Dev Error: Function Input Error","",""
"00-001-00001","","In 'find_recipe' function when instrument is None ? i.e. we must have an instrument to get a recipe","{0} = function name","Must define an instrument. \n\t function = {0}","Doit définir un instrument. \n\t fonction = {0}",""
"00-001-00002","ERROR","Means that file was not set i.e. DrsInputFile.function was not used before using this function","{0} = DrsInputFile name; {1} = function to use","{0} : Filename is not set. Must set a filename with '{1}' first.","",""
"00-001-00003","ERROR","Means that recipe was not set i.e. DrsInputFile.function was not used before using this function","{0} = DrsInputFile nane; {1} = filename, {2} = function to use","No recipe set for {0}: filename={1}. Run {2} first.","",""
"00-001-00004","ERROR","Means that data is not set i.e. DrsInputFile.function was not used before using this function","{0} = DrsInputFile name; {1} = function to use","{0}: Data is not set. Must read fits using {1} first.","",""
"00-001-00005","ERROR","Means that 'keys' input to DrsFitsFile.read_header_keys was not a list","{0} = function name"," 'keys' must be a valid python list \n\t function = {0}","",""
"00-001-00006","ERROR","Means that list 'defaults' was not the same length as 'key's (in DrsFitsFile)","{0} = function name"," 'defaults' must be same length as 'keys' \n\t function = {0}","",""
