"ARGUMENTS","ENG","FR","KEYDESC","KEYNAME","KIND"
"None","This is the default DRS description message","None","","DRS_DESCRIPTION","HELP"
"None","[BOOLEAN] Whether to add outputs to calibration database","[BOOLEAN] S'il faut ajouter des sorties  la base de donnes d'talonnage ","","ADD_CAL_HELP","HELP"
"None","Lists ALL the night name directories in the input directory if used without a 'directory' argument or lists the files in the given 'directory' (if defined)","Rpertorie TOUS les rpertoires de noms de nuit du rpertoire d'entre s'il est utilis sans l'argument 'directory' ou rpertorie les fichiers du 'rpertoire' donn (si dfini)","","ALLLISTING_HELP","HELP"
"None","and","et","","AND_TEXT","TEXT"
"None","Given a function name will break when this function is found (only if function contains display_func)","","","BREAKFUNC_HELP","HELP"
"None","If set then any breakpoints in the code are executed","","","BREAKPOINTS_HELP","HELP"
"None","or","","text for ""or"" logical condition","C_OR","TEXT"
"None","and","","text for ""and"" logical condition","C_AND","TEXT"
"None","N","N","character for no","C_NO","TEXT"
"None","Y","O","character for yes","C_YES","TEXT"
"None","[Y]es or [N]o","[O]ui ou [N[on","question for yes or no characters","C_YES_OR_NO","TEXT"
"None","Options are","","options are text","C_OPTIONS_ARE","TEXT"
"None","Default is","","default is text","C_DEFAULT_IS","TEXT"
"None","Produces a nicely formatted change log (using git). Requires gitchangelog to be installed via 'pip install gitchangelog'","","","CHANGELOG_DESCRIPTION","HELP"
"None","Path to csv file. For --importdb this is the csv file you wish to add. For --exportdb this is the csv file that will be saved.","","","DBMGR_CSVARG_HELP","TEXT"
"None","APERO database manager functionality","","","DBMGR_DESCRIPTION","TEXT"
"None","Export a database to a csv file","","","DBMGR_EXPORTDB_HELP","TEXT"
"None","Import a csv file into a database","","","DBMGR_IMPORTDB_HELP","TEXT"
"None","How to add the csv file to database: append adds all lines to the end of current database, replace removes all previous lines from database. Default is replace.","","","DBMGR_JOIN_HELP","TEXT"
"None","Use this when database is stuck and you have no other opens (mysql only)","","","DBMGR_KILLARG_HELP","TEXT"
"None","Use this to update the database based on files on disk in the correct directories (Currently updates calib/tellu/log and index databases)","","","DBMGR_UPDATE_HELP","TEXT"
"None","Activates debug mode (Advanced mode [INTEGER] value must be an integer greater than 0, setting the debug level)","Active le mode dbogage (la valeur en mode avanc [INTEGER] doit tre un entier suprieur  0, dfinissant le niveau de dbogage)","","DEBUG_HELP","HELP"
"None","Run a dependency check on the DRS (Will display all modules required and some stats)","","","DEPENDENCIES_DESCRIPTION","HELP"
"None"," Description:"," La description: ","","DESCRIPTION_TEXT","TEXT"
"None","[STRING] The 'night_name' or absolute path of the directory","[STRING] Le 'night_name' ou chemin absolu du rpertoire ","","DIRECTORY_HELP","HELP"
"None"," Example uses:"," Exemple d'utilisation: ","","EXAMPLES_TEXT","TEXT"
"None","Opens a GUI browser to help one navigate the raw, working and reduced directories. Displays all files and a select set of header keys","","","EXPLORER_DESCRIPTION","HELP"
"None","Display all hash columns (hidden by default)","","","EXPLORER_HASH","TEXT"
"None","[STRING] The instrument to nagivate","","","EXPLORER_INST_HEPL","HELP"
"None","[STRING] A single fits files. ","[STRING] Un seul correspond  des fichiers. ","","FILE_HELP","HELP"
"None","[STRING/STRINGS] A list of fits files to use separated by spaces. ","[STRING / STRINGS] Liste des fichiers de correspondance  utiliser spars par des espaces. ","","FILES_HELP","HELP"
