name,description,HDR[INSTRUME],HDR[TRG_TYPE]\*
RAW_DARK_DARK_INT,"Raw sci=DARK calib=DARK file, where dark is an internal dark",SPIRou,--
RAW_DARK_DARK_TEL,"Raw sci=DARK calib=DARK file, where dark is a telescope dark",SPIRou,--
RAW_DARK_DARK_SKY,"Raw sci=DARK calib=DARK file, where dark is a sky dark",SPIRou,SKY
RAW_DARK_FP_SKY,"Raw sci=DARK calib=FP file, where dark is an internal dark",SPIRou,SKY
RAW_DARK_FLAT,"Raw sci=DARK calib=FLAT file, where dark is an internal dark",SPIRou,--
RAW_FLAT_DARK,"Raw sci=FLAT calib=DARK file, where dark is an internal dark",SPIRou,--
RAW_FLAT_FLAT,Raw sci=FLAT calib=FLAT file,SPIRou,--
RAW_FLAT_FP,Raw sci=FLAT calib=FP file,SPIRou,--
RAW_DARK_FP,"Raw sci=DARK calib=FP file, where dark is an internal dark",SPIRou,--
RAW_FP_DARK,"Raw sci=FP calib=DARK file,  where dark is an internal dark",SPIRou,--
RAW_FP_FLAT,Raw sci=FP calib=FLAT file,SPIRou,--
RAW_FP_FP,Raw sci=FP calib=FP file,SPIRou,--
RAW_LFC_LFC,Raw sci=LFC calib=LFC file,SPIRou,--
RAW_LFC_FP,Raw sci=LFC calib=FP file,SPIRou,--
RAW_FP_LFC,Raw sci=FP calib=LFC file,SPIRou,--
RAW_OBJ_DARK,"Raw sci=OBJ calib=DARK file, where dark is an internal dark",SPIRou,TARGET
RAW_OBJ_FP,Raw sci=OBJ calib=FP file,SPIRou,TARGET
RAW_OBJ_HCONE,"Raw sci=OBJ calib=Hollow Cathode file, Uranium Neon lamp",SPIRou,TARGET
RAW_OBJ_HCTWO,"Raw sci=OBJ calib=Hollow Cathode file, Thorium Argon lamp",SPIRou,TARGET
RAW_POLAR_DARK,"Raw sci=POLAR calib=DARK, where dark is an internal dark",SPIRou,TARGET
RAW_POLAR_FP,Raw sci=POLAR calib=FP,SPIRou,TARGET
RAW_DARK_HCONE,"Raw sci=DARK calib=Hollow Cathode file, where dark is an internal dark, Uranium Neon lamp",SPIRou,--
RAW_DARK_HCTWO,"Raw sci=DARK calib=Hollow Cathode file, where dark is an internal dark, Thorium Argon lamp",SPIRou,--
RAW_FP_HCONE,"Raw sci=FP calib=Hollow Cathode file, Uranium Neon lamp",SPIRou,--
RAW_FP_HCTWO,"Raw sci=FP calib=Hollow Cathode file, Thorium Argon lamp",SPIRou,--
RAW_HCONE_FP,"Raw sci=Hollow Cathode calib=FP file, Uranium Neion lamp",SPIRou,--
RAW_HCTWO_FP,"Raw sci=Hollow Cathode calib=FP file, Thorium Argon lamp",SPIRou,--
RAW_HCONE_HCONE,"Raw sci=Hollow Cathode calib=Hollow Cathode file, Uranium Neon lamp",SPIRou,--
RAW_HCTWO_HCTWO,"Raw sci=Hollow Cathode calib=Hollow Cathode file, Thorium Argon lamp",SPIRou,--
RAW_HCONE_DARK,"Raw sci=Hollow Cathode calib=DARK file, where dark is an internal dark, Uranium Neon lamp",SPIRou,--
RAW_HCTWO_DARK,"Raw sci=Hollow Cathode calib=DARK file, where dark is an internal dark, Thorium Argon lamp",SPIRou,--
