name,HDR[DPRTYPE],file type,suffix,input file
DARK_DARK,DARK_DARK,.fits,_pp,RAW_DARK_DARK
DARK_DARK_SKY,DARK_DARK_SKY,.fits,_pp,RAW_DARK_DARK_SKY
FLAT_DARK,FLAT_DARK,.fits,_pp,RAW_FLAT_DARK
DARK_FLAT,DARK_FLAT,.fits,_pp,RAW_DARK_FLAT
FLAT_FLAT,FLAT_FLAT,.fits,_pp,RAW_FLAT_FLAT
DARK_FP,DARK_FP,.fits,_pp,RAW_DARK_FP
FP_DARK,FP_DARK,.fits,_pp,RAW_FP_DARK
FP_FP,FP_FP,.fits,_pp,RAW_FP_FP
LFC_LFC,LFC_LFC,.fits,_pp,RAW_LFC_LFC
LFC_FP,LFC_FP,.fits,_pp,RAW_LFC_FP
FP_LFC,FP_LFC,.fits,_pp,RAW_FP_LFC
LED_LED,LED_LED,.fits,_pp,RAW_LED_LED
FLAT_LED,FLAT_LED,.fits,_pp,RAW_FLAT_LED
OBJ_DARK,OBJ_DARK,.fits,_pp,RAW_OBJ_DARK
OBJ_FP,OBJ_FP,.fits,_pp,RAW_OBJ_FP
OBJ_HC1,OBJ_HCONE,.fits,_pp,RAW_OBJ_HCONE
OBJ_SKY,OBJ_SKY,.fits,_pp,RAW_OBJ_SKY
OBJ_TUN,OBJ_TUN,.fits,_pp,RAW_OBJ_TUN
DARK_HCONE,DARK_HCONE,.fits,_pp,RAW_DARK_HCONE
FP_HCONE,FP_HCONE,.fits,_pp,RAW_FP_HCONE
HCONE_FP,HCONE_FP,.fits,_pp,RAW_HCONE_FP
HCONE_HCONE,HCONE_HCONE,.fits,_pp,RAW_HCONE_HCONE
HCONE_DARK,HCONE_DARK,.fits,_pp,RAW_HCONE_DARK
CALIB_DARK_FLAT,CALIB_DARK_FLAT,.fits,_pp,RAW_CALIB_DARK_FLAT
CALIB_FLAT_DARK,CALIB_FLAT_DARK,.fits,_pp,RAW_CALIB_FLAT_DARK
TEST_DARK_FLAT,TEST_DARK_FLAT,.fits,_pp,RAW_TEST_DARK_FLAT
TEST_FLAT_DARK,TEST_FLAT_DARK,.fits,_pp,RAW_TEST_FLAT_DARK
TEST_DARK_FP,TEST_DARK_FP,.fits,_pp,RAW_TEST_DARK_FP
TEST_FP_FP,TEST_FP_FP,.fits,_pp,RAW_TEST_FP_FP
TEST_LED_LED,TEST_LED_LED,.fits,_pp,RAW_TEST_LED_LED
TEST_HCONE_HCONE,TEST_HCONE_HCONE,.fits,_pp,RAW_TEST_HCONE_HCONE
TEST_FP_HCONE,TEST_FP_HCONE,.fits,_pp,RAW_TEST_FP_HCONE
TEST_HCONE_FP,TEST_HCONE_FP,.fits,_pp,RAW_TEST_HCONE_FP
