name,description,HDR[HIERARCH ESO DPR TYPE],HDR[HIERARCH ESO DPR CATG],HDR[INSTRUME],HDR[HIERARCH ESO INS MODE],HDR[TRG_TYPE]\*
RAW_DARK_DARK,Raw sci=DARK calib=DARK file,DARK,CALIB,NIRPS,HE,--
RAW_DARK_DARK_SKY,Raw sci=DARK calib=DARK file,"EFF,SKY,SKY",CALIB,NIRPS,HE,--
RAW_DARK_FLAT,Raw sci=DARK calib=FP file,"ORDERDEF,DARK,LAMP",CALIB,NIRPS,HE,--
RAW_FLAT_DARK,Raw sci=FLAT calib=DARK file,"ORDERDEF,LAMP,DARK",CALIB,NIRPS,HE,--
RAW_FLAT_FLAT,Raw sci=FLAT calib=FLAT file,"FLAT,LAMP,LAMP",CALIB,NIRPS,HE,--
RAW_DARK_FP,Raw sci=DARK calib=FP file,"CONTAM,DARK,FP",CALIB,NIRPS,HE,--
RAW_FP_DARK,Raw sci=FP calib=DARK file,"CONTAM,FP,DARK",CALIB,NIRPS,HE,--
RAW_FP_FP,Raw sci=FP calib=FP file,"WAVE,FP,FP",CALIB,NIRPS,HE,--
RAW_LFC_LFC,Raw sci=LFC calib=LFC file,"WAVE,LFC,LFC",CALIB,NIRPS,HE,--
RAW_LFC_FP,Raw sci=LFC calib=FP file,"WAVE,LFC,FP",CALIB,NIRPS,HE,--
RAW_FP_LFC,Raw sci=FP calib=LFC file,"WAVE,FP,LFC",CALIB,NIRPS,HE,--
RAW_LED_LED,--,"LED,LAMP",CALIB,NIRPS,HE,--
RAW_FLAT_LED,--,"FLAT,LED",CALIB,NIRPS,HE,--
RAW_OBJ_DARK,Raw sci=OBJ calib=DARK file,"OBJECT,DARK",--,NIRPS,HE,TARGET
RAW_OBJ_FP,Raw sci=OBJ calib=FP file,"OBJECT,FP",--,NIRPS,HE,TARGET
RAW_OBJ_HCONE,"Raw sci=OBJ calib=Hollow Cathode file, Uranium Neon lamp","OBJECT,UN1",--,NIRPS,HE,TARGET
RAW_OBJ_SKY,Raw sci=OBJ calib=Sky file,"OBJECT,SKY",--,NIRPS,HE,TARGET
RAW_OBJ_TUN,--,"OBJECT,TUN",--,NIRPS,HE,TARGET
RAW_SUN_FP,Raw sci=SUN calib=FP file,"SUN,FP,G2V",--,NIRPS,HE,--
RAW_SUN_DARK,Raw sci=SUN calib=DARK file,"SUN,DARK,G2V",--,NIRPS,HE,--
RAW_FLUXSTD_SKY,Raw sci=flux standard star calib=DARK file,"FLUX,STD,SKY",--,NIRPS,HE,--
RAW_TELLU_SKY,Raw sci=hot star calib=DARK file,"TELLURIC,SKY",--,NIRPS,HE,--
RAW_DARK_HCONE,"Raw sci=DARK calib=Hollow Cathode file, where dark is an internal dark, Uranium Neon lamp","WAVE,DARK,UN1",CALIB,NIRPS,HE,--
RAW_FP_HCONE,"Raw sci=FP calib=Hollow Cathode file, Uranium Neon lamp","WAVE,FP,UN1",CALIB,NIRPS,HE,--
RAW_HCONE_FP,"Raw sci=Hollow Cathode calib=FP file, Uranium Neion lamp","WAVE,UN1,FP",CALIB,NIRPS,HE,--
RAW_HCONE_HCONE,"Raw sci=Hollow Cathode calib=Hollow Cathode file, Uranium Neon lamp","WAVE,UN1,UN1",CALIB,NIRPS,HE,--
RAW_HCONE_DARK,"Raw sci=Hollow Cathode calib=DARK file, where dark is an internal dark, Uranium Neon lamp","WAVE,UN1,DARK",CALIB,NIRPS,HE,--
RAW_CALIB_DARK_FLAT,Raw sci=DARK calib=FLAT test file,"FLAT,DARK,LAMP",CALIB,NIRPS,HE,--
RAW_CALIB_FLAT_DARK,Raw sci=FLAT calib=DARK test file,"FLAT,LAMP,DARK",CALIB,NIRPS,HE,--
RAW_TEST_DARK_FP,Raw sci=DARK calib=FP test file,"CONTAM,DARK,FP",TEST,NIRPS,HE,--
RAW_TEST_DARK_FLAT,Raw sci=DARK calib=FLAT test file,"FLAT,DARK,LAMP",TEST,NIRPS,HE,--
RAW_TEST_FLAT_DARK,Raw sci=FLAT calib=DARK test file,"FLAT,LAMP,DARK",TEST,NIRPS,HE,--
RAW_TEST_FP_FP,Raw sci=FP calib=FP test file,"WAVE,FP,FP",TEST,NIRPS,HE,--
RAW_TEST_LED_LED,Raw sci=LED calib=LED test file,"LED,LAMP",TEST,NIRPS,HE,--
RAW_TEST_HCONE_HCONE,Raw sci=Hollow Cathode calib=Hollow Cathode test file,"WAVE,UN1,UN1",TEST,NIRPS,HE,--
RAW_TEST_FP_HCONE,Raw sci=FP calib=Hollow Cathode test file,"WAVE,FP,UN1",TEST,NIRPS,HE,--
RAW_TEST_HCONE_FP,Raw sci=Hollow Cathode calib=FP test file,"WAVE,UN1,FP",TEST,NIRPS,HE,--
RAW_DARK_DARK_SKY,Raw sci=SKY calib=SKY test file,"EFF,SKY,SKY",TEST,NIRPS,HE,--
RAW_TEST_DARK,Raw sci=DARK calib=DARK test file,DARK,TEST,NIRPS,HE,--
RAW_TEST_FP_DARK,Raw sci=FP calib=DARK test file,"CONTAM,FP,DARK",TEST,NIRPS,HE,--
