name,HDR[DRSOUTID],file type,suffix,basename,fibers,input file
PPMSTR,PPMSTR,.fits,_pmaster,--,--,RAW_FLAT_FLAT
DARKI,DARKI,.fits,_darki,--,--,DARK_DARK
DARKS,DARKS,.fits,_darks,--,--,DARK_DARK_SKY
DARKM,DARKM,.fits,_dark_master,--,--,DARK_DARK
BADPIX,BADPIX,.fits,_badpixel,--,--,FLAT_FLAT
BKGRD_MAP,BKGRD_MAP,.fits,_bmap.fits,--,--,FLAT_FLAT
DEBUG_BACK,DEBUG_BACK,.fits,_background.fits,--,--,DRS_PP
LOC_ORDERP,LOC_ORDERP,.fits,_order_profile,--,"A, B","FLAT_DARK, DARK_FLAT"
LOC_LOCO,LOC_LOCO,.fits,_loco,--,"A, B","FLAT_DARK, DARK_FLAT"
LOC_FWHM,LOC_FWHM,.fits,_fwhm-order,--,"A, B","FLAT_DARK, DARK_FLAT"
LOC_SUP,LOC_SUP,.fits,_with-order,--,"A, B","FLAT_DARK, DARK_FLAT"
SHAPE_X,SHAPE_X,.fits,_shapex,--,--,FP_FP
SHAPE_Y,SHAPE_Y,.fits,_shapey,--,--,FP_FP
MASTER_FP,MASTER_FP,.fits,_fpmaster,--,--,FP_FP
SHAPE_IN_FP,SHAPE_IN_FP,.fits,_shape_in_fp,--,--,FP_FP
SHAPE_OUT_FP,SHAPE_OUT_FP,.fits,_shape_out_fp,--,--,FP_FP
SHAPE_BDX,SHAPE_BDX,.fits,_shape_out_bdx,--,--,FP_FP
SHAPEL,SHAPEL,.fits,_shapel,--,--,FP_FP
SHAPEL_IN_FP,SHAPEL_IN_FP,.fits,_shapel_in_fp.fits,--,--,FP_FP
SHAPEL_OUT_FP,SHAPEL_OUT_FP,.fits,_shapel_out_fp.fits,--,--,FP_FP
FF_BLAZE,FF_BLAZE,.fits,_blaze,--,"A, B",FLAT_FLAT
FF_FLAT,FF_FLAT,.fits,_flat,--,"A, B",FLAT_FLAT
ORDERP_STRAIGHT,ORDERP_STRAIGHT,.fits,_orderps,--,"A, B",SHAPEL
EXT_E2DS,EXT_E2DS,.fits,_e2ds,--,"A, B",DRS_PP
EXT_E2DS_FF,EXT_E2DS_FF,.fits,_e2dsff,--,"A, B",DRS_PP
EXT_E2DS_LL,EXT_E2DS_LL,.fits,_e2dsll,--,"A, B","DRS_PP, FLAT_FLAT"
EXT_LOCO,EXT_LOCO,.fits,_e2dsloco,--,"A, B",DRS_PP
EXT_S1D_W,EXT_S1D_W,.fits,_s1d_w,--,"A, B",DRS_PP
EXT_S1D_V,EXT_S1D_V,.fits,_s1d_v,--,"A, B",DRS_PP
EXT_FPLIST,EXT_FPLIST,.fits,_ext_fplines,--,"A, B","EXT_E2DS, EXT_E2DS_FF"
LEAKM_E2DS,LEAKM_E2DS,.fits,_leak_master,--,"A, B","EXT_E2DS, EXT_E2DS_FF"
WAVESOL_MASTER,WAVESOL_MASTER,.fits,_wavesol_master,--,"A, B","EXT_E2DS, EXT_E2DS_FF"
WAVE_HCLIST_MASTER,WAVE_HCLIST_MASTER,.fits,_wavem_hclines,--,"A, B","EXT_E2DS, EXT_E2DS_FF"
