name,description,HDR[OBSTYPE],HDR[SBCCAS_P],HDR[SBCREF_P],HDR[SBCALI_P],HDR[INSTRUME],HDR[TRG_TYPE]\*,HDR[DRSMODE]\*
RAW_DARK_DARK_INT,"Raw sci=DARK calib=DARK file, where dark is an internal dark",DARK,pos_pk,pos_pk,P4,SPIRou,--,--
RAW_DARK_DARK_TEL,"Raw sci=DARK calib=DARK file, where dark is a telescope dark",DARK,pos_pk,pos_pk,P5,SPIRou,--,--
RAW_DARK_DARK_SKY,"Raw sci=DARK calib=DARK file, where dark is a sky dark",OBJECT,pos_pk,pos_pk,--,SPIRou,SKY,--
RAW_DARK_FP_SKY,"Raw sci=DARK calib=FP file, where dark is an internal dark",OBJECT,pos_pk,pos_fp,--,SPIRou,SKY,--
RAW_DARK_FLAT,"Raw sci=DARK calib=FLAT file, where dark is an internal dark",FLAT,pos_pk,pos_wl,--,SPIRou,--,--
RAW_FLAT_DARK,"Raw sci=FLAT calib=DARK file, where dark is an internal dark",FLAT,pos_wl,pos_pk,--,SPIRou,--,--
RAW_FLAT_FLAT,Raw sci=FLAT calib=FLAT file,FLAT,pos_wl,pos_wl,--,SPIRou,--,--
RAW_FLAT_FP,Raw sci=FLAT calib=FP file,FLAT,pos_wl,pos_fp,--,SPIRou,--,--
RAW_DARK_FP,"Raw sci=DARK calib=FP file, where dark is an internal dark",ALIGN,pos_pk,pos_fp,--,SPIRou,--,--
RAW_FP_DARK,"Raw sci=FP calib=DARK file,  where dark is an internal dark",ALIGN,pos_fp,pos_pk,--,SPIRou,--,--
RAW_FP_FLAT,Raw sci=FP calib=FLAT file,ALIGN,pos_fp,pos_wl,--,SPIRou,--,--
RAW_FP_FP,Raw sci=FP calib=FP file,ALIGN,pos_fp,pos_fp,--,SPIRou,--,--
RAW_LFC_LFC,Raw sci=LFC calib=LFC file,ALIGN,pos_rs,pos_rs,--,SPIRou,--,--
RAW_LFC_FP,Raw sci=LFC calib=FP file,ALIGN,pos_rs,pos_fp,--,SPIRou,--,--
RAW_FP_LFC,Raw sci=FP calib=LFC file,ALIGN,pos_fp,pos_rs,--,SPIRou,--,--
RAW_OBJ_DARK,"Raw sci=OBJ calib=DARK file, where dark is an internal dark",OBJECT,pos_pk,pos_pk,--,SPIRou,TARGET,SPECTROSCOPY
RAW_OBJ_FP,Raw sci=OBJ calib=FP file,OBJECT,pos_pk,pos_fp,--,SPIRou,TARGET,SPECTROSCOPY
RAW_OBJ_HCONE,"Raw sci=OBJ calib=Hollow Cathode file, Uranium Neon lamp",OBJECT,pos_pk,pos_hc1,--,SPIRou,TARGET,--
RAW_OBJ_HCTWO,"Raw sci=OBJ calib=Hollow Cathode file, Thorium Argon lamp",OBJECT,pos_pk,pos_hc2,--,SPIRou,TARGET,--
RAW_POLAR_DARK,"Raw sci=POLAR calib=DARK, where dark is an internal dark",OBJECT,pos_pk,pos_pk,--,SPIRou,TARGET,POLAR
RAW_POLAR_FP,Raw sci=POLAR calib=FP,OBJECT,pos_pk,pos_fp,--,SPIRou,TARGET,POLAR
RAW_DARK_HCONE,"Raw sci=DARK calib=Hollow Cathode file, where dark is an internal dark, Uranium Neon lamp",COMPARISON,pos_pk,pos_hc1,--,SPIRou,--,--
RAW_DARK_HCTWO,"Raw sci=DARK calib=Hollow Cathode file, where dark is an internal dark, Thorium Argon lamp",COMPARISON,pos_pk,pos_hc2,--,SPIRou,--,--
RAW_FP_HCONE,"Raw sci=FP calib=Hollow Cathode file, Uranium Neon lamp",COMPARISON,pos_fp,pos_hc1,--,SPIRou,--,--
RAW_FP_HCTWO,"Raw sci=FP calib=Hollow Cathode file, Thorium Argon lamp",COMPARISON,pos_fp,pos_hc2,--,SPIRou,--,--
RAW_HCONE_FP,"Raw sci=Hollow Cathode calib=FP file, Uranium Neion lamp",COMPARISON,pos_hc1,pos_fp,--,SPIRou,--,--
RAW_HCTWO_FP,"Raw sci=Hollow Cathode calib=FP file, Thorium Argon lamp",COMPARISON,pos_hc2,pos_fp,--,SPIRou,--,--
RAW_HCONE_HCONE,"Raw sci=Hollow Cathode calib=Hollow Cathode file, Uranium Neon lamp",COMPARISON,pos_hc1,pos_hc1,--,SPIRou,--,--
RAW_HCTWO_HCTWO,"Raw sci=Hollow Cathode calib=Hollow Cathode file, Thorium Argon lamp",COMPARISON,pos_hc2,pos_hc2,--,SPIRou,--,--
RAW_HCONE_DARK,"Raw sci=Hollow Cathode calib=DARK file, where dark is an internal dark, Uranium Neon lamp",COMPARISON,pos_hc1,pos_pk,--,SPIRou,--,--
RAW_HCTWO_DARK,"Raw sci=Hollow Cathode calib=DARK file, where dark is an internal dark, Thorium Argon lamp",COMPARISON,pos_hc2,pos_pk,--,SPIRou,--,--
