name,description,file type,suffix,basename,fibers,dbname,dbkey,input file
ABSO_NPY,Telluric absorption temporary file 1,.npy,--,tellu_save.npy,--,--,--,--
ABSO1_NPY,Telluric absorption temporary file 2,.npy,--,tellu_save1.npy,--,--,--,--
TELLU_OBJ,Telluric corrected extracted 2D spectrum,.fits,_e2dsff_tcorr,--,"AB, A, B",telluric,TELLU_OBJ,EXT_E2DS_FF
SC1D_W_FILE,Telluric corrected extracted 1D spectrum (constant wavelength binning),.fits,_s1d_w_tcorr,--,"AB, A, B",--,--,EXT_E2DS_FF
SC1D_V_FILE,Telluric corrected extracted 1D spectrum (constant velocity binning),.fits,_s1d_v_tcorr,--,"AB, A, B",--,--,EXT_E2DS_FF
TELLU_RECON,Telluric reconstructed 2D absorption file,.fits,_e2dsff_recon,--,"AB, A, B",telluric,TELLU_RECON,EXT_E2DS_FF
RC1D_W_FILE,Telluric reconstructed 1D absorption file (constant wavelength binning),.fits,_s1d_w_recon,--,"AB, A, B",--,--,EXT_E2DS_FF
RC1D_V_FILE,Telluric reconstructed 1D absorption file (constant velocity binning),.fits,_s1d_v_recon,--,"AB, A, B",--,--,EXT_E2DS_FF
TELLU_SCLEAN,Sky-cleaning file,.fits,_tellu_sclean.fits,--,--,--,--,EXT_E2DS_FF
TELLU_PCLEAN,Telluric pre-cleaning file,.fits,_tellu_pclean,--,"AB, A, B",telluric,TELLU_PCLEAN,EXT_E2DS_FF
