name,description,file type,suffix,input file
POL_DEG,Polarimetry 2D degree of polarisation file,.fits,_pol,"EXT_E2DS_FF, TELLU_OBJ"
NULL_POL1,2D Null polarisation 1 file,.fits,_null1_pol,"EXT_E2DS_FF, TELLU_OBJ"
NULL_POL2,2D Null polarisation 2 file,.fits,_null2_pol,"EXT_E2DS_FF, TELLU_OBJ"
STOKESI_POL,Polarimetry 2D stokes I polarisation file,.fits,_StokesI,"EXT_E2DS_FF, TELLU_OBJ"
LSD_POL,Least squares deconvolution file,.fits,_lsd_pol,"EXT_E2DS_FF, TELLU_OBJ"
POL_CALIB,Polarimetry 2D shifted wavelength solution and blaze calibration file,.fits,_pol_calib,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_POL,Polarimetry 2D degree of polarisation file (constant wavelength binning),.fits,_s1d_w_pol,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_POL,Polarimetry 2D degree of polarisation file (constant velocity binning),.fits,_s1d_v_pol,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_NULL1,1D Null polarisation 1 file (constant wavelength binning),.fits,_s1d_w_null1,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_NULL1,1D Null polarisation 1 file (constant velocity binning),.fits,_s1d_v_null1,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_NULL2,1D Null polarisation 2 file (constant wavelength binning),.fits,_s1d_w_null2,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_NULL2,1D Null polarisation 2 file (constant velocity binning),.fits,_s1d_v_null2,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_STOKESI,Polarimetry 1D stokes I polarisation file (constant wavelength binning),.fits,_s1d_w_stokesi,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_STOKESI,Polarimetry 1D stokes I polarisation file (constant velocity binning),.fits,_s1d_v_stokesi,"EXT_E2DS_FF, TELLU_OBJ"
