name,HDR[DRSOUTID],file type,suffix,input file
POL_DEG,POL_DEG,.fits,_pol,"EXT_E2DS_FF, TELLU_OBJ"
NULL_POL1,NULL_POL1,.fits,_null1_pol,"EXT_E2DS_FF, TELLU_OBJ"
NULL_POL2,NULL_POL2,.fits,_null2_pol,"EXT_E2DS_FF, TELLU_OBJ"
STOKESI_POL,STOKESI_POL,.fits,_StokesI,"EXT_E2DS_FF, TELLU_OBJ"
LSD_POL,LSD_POL,.fits,_lsd_pol,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_POL,S1DW_POL,.fits,_s1d_w_pol,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_POL,S1DV_POL,.fits,_s1d_v_pol,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_NULL1,S1DW_NULL1,.fits,_s1d_w_null1,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_NULL1,S1DV_NULL1,.fits,_s1d_v_null1,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_NULL2,S1DW_NULL1,.fits,_s1d_w_null2,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_NULL2,S1DV_NULL2,.fits,_s1d_v_null2,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_STOKESI,S1DW_STOKESI,.fits,_s1d_w_stokesi,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_STOKESI,S1DV_STOKESI,.fits,_s1d_v_stokesi,"EXT_E2DS_FF, TELLU_OBJ"
