ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,FIBER,FILTERS,ARGS,KWARGS
1,apero_preprocess_nirps_ha.py,PP,pre-all,No,--,--,,
2,apero_dark_ref_nirps_ha.py,DARKREF,calib-reference,Yes,--,--,,
3,apero_badpix_nirps_ha.py,BADREF,calib-reference,Yes,--,--,,
4,apero_loc_nirps_ha.py,LOCREFB,calib-reference-B,Yes,--,--,{files}=[DARK_FLAT],
5,apero_loc_nirps_ha.py,LOCREFA,calib-reference-A,Yes,--,--,{files}=[FLAT_DARK],
6,apero_shape_ref_nirps_ha.py,SHAPEREF,calib-reference,Yes,--,--,,
7,apero_shape_nirps_ha.py,SHAPELREF,calib-reference,Yes,--,--,,
8,apero_flat_nirps_ha.py,FLATREF,calib-reference,Yes,--,--,,
9,apero_leak_ref_nirps_ha.py,LEAKREF,calib-reference,Yes,--,--,,
10,apero_wave_ref_nirps_ha.py,WAVEREF,calib-reference,Yes,--,--,,--hcfiles=[HCONE_HCONE] |br| --fpfiles=[FP_FP]
11,apero_badpix_nirps_ha.py,BAD,calib-night,No,--,--,,
12,apero_loc_nirps_ha.py,LOCB,calib-night-B,No,--,--,{files}=[DARK_FLAT],
13,apero_loc_nirps_ha.py,LOCA,calib-night-A,No,--,--,{files}=[FLAT_DARK],
14,apero_shape_nirps_ha.py,SHAPE,calib-night,No,--,--,,
15,apero_flat_nirps_ha.py,FF,calib-night,No,--,--,{files}=[FLAT_FLAT],
16,apero_wave_night_nirps_ha.py,WAVE,calib-night,No,--,--,,
17,apero_extract_nirps_ha.py,EXTALL,extract-ALL,No,--,--,"{files}=[OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY]",
18,apero_mk_tellu_nirps_ha.py,MKTELLU1,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
19,apero_mk_model_nirps_ha.py,MKTMOD1,tellu-hotstar,No,--,--,,
20,apero_fit_tellu_nirps_ha.py,MKTFIT,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
21,apero_mk_template_nirps_ha.py,MKTEMP,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",,
22,apero_mk_tellu_nirps_ha.py,MKTELLU2,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY",{files}=[EXT_E2DS_FF],
23,apero_mk_model_nirps_ha.py,MKTMOD2,tellu-hotstar,No,--,--,,
24,apero_fit_tellu_nirps_ha.py,FTFIT1,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
25,apero_mk_template_nirps_ha.py,FTTEMP,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",,
26,apero_fit_tellu_nirps_ha.py,FTFIT2,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
