ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,FILTERS,ARGS
1,apero_PP_REF_nirps_he.py,PPREF,pre-reference,Yes,--,
2,apero_preprocess_nirps_he.py,PP_CAL,pre-cal,No,KW_RAW_DPRCATG: CALIB,
3,apero_preprocess_nirps_he.py,PP_SCI,pre-sci,No,KW_OBJNAME: SCIENCE_TARGETS,
4,apero_preprocess_nirps_he.py,PP_TEL,pre-tel,No,KW_OBJNAME: TELLURIC_TARGETS,
5,apero_preprocess_nirps_he.py,PP_HC1HC1,pre-hchc,No,--,{files}=[RAW_HCONE_HCONE]
6,apero_preprocess_nirps_he.py,PP_FPFP,pre-fpfp,No,--,{files}=[RAW_FP_FP]
7,apero_preprocess_nirps_he.py,PP_FF,pre-ff,No,--,{files}=[RAW_FLAT_FLAT]
8,apero_preprocess_nirps_he.py,PP_DFP,pre-dfp,No,--,{files}=[RAW_DARK_FP]
9,apero_preprocess_nirps_he.py,PP_SKY,pre-sky,No,--,{files}=[RAW_DARK_DARK_SKY]
10,apero_preprocess_nirps_he.py,PP_LFC,pre-lfc,No,--,{files}=[RAW_LFC_LFC]
11,apero_preprocess_nirps_he.py,PP_LFCFP,pre-lfcfp,No,--,{files}=[RAW_LFC_FP]
12,apero_preprocess_nirps_he.py,PP_FPLFC,pre-fplfc,No,--,{files}=[RAW_FP_LFC]
13,apero_preprocess_nirps_he.py,PP_EFFSKY,pre-effsky,No,--,{files}=[TEST_DARK_DARK_SKY]
