ORDER,RECIPE,SHORTNAME,RECIPE KIND,MASTER RECIPE,FIBER,FILTERS,ARGS,KWARGS
1,apero_preprocess_spirou.py,PP,pre-all,No,--,--,,
2,apero_dark_master_spirou.py,DARKM,calib-master,Yes,--,--,,
3,apero_badpix_spirou.py,BADM,calib-master,Yes,--,--,,
4,apero_loc_spirou.py,LOCMC,calib-master-C,Yes,--,--,{files}=[DARK_FLAT],
5,apero_loc_spirou.py,LOCMAB,calib-master-AB,Yes,--,--,{files}=[FLAT_DARK],
6,apero_shape_master_spirou.py,SHAPEM,calib-master,Yes,--,--,,
7,apero_shape_spirou.py,SHAPELM,calib-master,Yes,--,--,,
8,apero_flat_spirou.py,FLATM,calib-master,Yes,--,--,,
9,apero_thermal_spirou.py,THERM_MI,calib-master-I,Yes,--,--,{files}=[DARK_DARK_INT],
10,apero_leak_master_spirou.py,LEAKM,calib-master,Yes,--,--,,
11,apero_wave_master_spirou.py,WAVEM,calib-master,Yes,--,--,,--hcfiles=[HCONE_HCONE] |br| --fpfiles=[FP_FP]
12,apero_thermal_spirou.py,THERM_MT,calib-master-T,Yes,--,--,{files}=[DARK_DARK_TEL],
13,apero_badpix_spirou.py,BAD,calib-night,No,--,--,,
14,apero_loc_spirou.py,LOCC,calib-night-C,No,--,--,{files}=[DARK_FLAT],
15,apero_loc_spirou.py,LOCAB,calib-night-AB,No,--,--,{files}=[FLAT_DARK],
16,apero_shape_spirou.py,SHAPE,calib-night,No,--,--,,
17,apero_flat_spirou.py,FF,calib-night,No,--,--,{files}=[FLAT_FLAT],
18,apero_thermal_spirou.py,THERM_I,calib-night-I,Yes,--,--,{files}=[DARK_DARK_INT],
19,apero_wave_night_spirou.py,WAVE,calib-night,No,--,--,,
20,apero_thermal_spirou.py,THERM_T,calib-night-T,Yes,--,--,{files}=[DARK_DARK_TEL],
21,apero_extract_spirou.py,EXTALL,extract-ALL,No,--,--,"{files}=[OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP]",
22,apero_mk_tellu_spirou.py,MKTELLU1,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",{files}=[EXT_E2DS_FF],
23,apero_mk_model_spirou.py,MKTMOD1,tellu-hotstar,No,--,--,,
24,apero_fit_tellu_spirou.py,MKTFIT,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",{files}=[EXT_E2DS_FF],
25,apero_mk_template_spirou.py,MKTEMP,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",,
26,apero_mk_tellu_spirou.py,MKTELLU2,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",{files}=[EXT_E2DS_FF],
27,apero_mk_model_spirou.py,MKTMOD2,tellu-hotstar,No,--,--,,
28,apero_fit_tellu_spirou.py,FTFIT1,tellu-science,No,AB,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",{files}=[EXT_E2DS_FF],
29,apero_mk_template_spirou.py,FTTEMP,tellu-science,No,AB,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",,
30,apero_fit_tellu_spirou.py,FTFIT2,tellu-science,No,AB,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",{files}=[EXT_E2DS_FF],
31,apero_ccf_spirou.py,CCF,rv-tcorr,No,AB,"KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",{files}=[TELLU_OBJ],
32,apero_pol_spirou.py,POLAR,polar-tcorr,No,AB,"KW_DPRTYPE: POLAR_FP, POLAR_DARK",,--exposures=[TELLU_OBJ]
33,apero_postprocess_spirou.py,POSTALL,post-all,No,--,"KW_DPRTYPE: OBJ_FP, OBJ_DARK, POLAR_FP, POLAR_DARK",{files}=[DRS_PP],
