ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,ARGS,KWARGS
1,apero_dark_ref_spirou.py,DARKREF,calib-reference,Yes,,
2,apero_badpix_spirou.py,BADREF,calib-reference,Yes,,
3,apero_loc_spirou.py,LOCREFCAL,calib-reference-CAL,No,{files}=[DARK_FLAT],
4,apero_loc_spirou.py,LOCREFSCI,calib-reference-SCI,No,{files}=[FLAT_DARK],
5,apero_shape_ref_spirou.py,SHAPEREF,calib-reference,Yes,,
6,apero_shape_spirou.py,SHAPELREF,calib-reference,Yes,,
7,apero_flat_spirou.py,FLATREF,calib-reference,Yes,,
8,apero_thermal_spirou.py,THERM_REFI,calib-reference-I,Yes,{files}=[DARK_DARK_INT],
9,apero_leak_ref_spirou.py,LEAKREF,calib-reference,Yes,,
10,apero_wave_ref_spirou.py,WAVEREF,calib-reference,Yes,,--hcfiles=[HCONE_HCONE] |br| --fpfiles=[FP_FP]
11,apero_thermal_spirou.py,THERM_REFT,calib-reference-T,Yes,{files}=[DARK_DARK_TEL],
